Site,Date,State,Country,Latitude,Longitude,EnglishName,LatinName,OrigBflyName,ButterflyCount,ObserverCount,HoursObserved
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Orange Skipperling,Copaeodes aurantiacus,Copaeodes aurantiaca,20,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Queen,Danaus gilippus,Danaus gilippus,15,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Dymasia dymas chara,Dymasia dymas chara,Dymasia chara,63,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Mournful Duskywing,Erynnis tristis,Erynnis tristis,1,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Mexican Yellow,Eurema mexicana,E. mexicana,29,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Sleepy Orange,Eurema nicippe,Eurema nicippe,10,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Eastern Tailed-Blue,Everes comyntas,Everes comyntas,15,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Ceraunus Blue,Hemiargus ceraunus,Hemiargus ceraunus,19,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Reakirt's Blue,Hemiargus isola,Hemiargus isola,1,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Marine Blue,Leptotes marina,Leptotes marina,93,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Viceroy,Limenitis archippus,Limenitis archippus,7,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Red-spotted Purple,Limenitis arthemis astyanax,Limenitis astyanax,10,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Red Satyr,Megisto rubricata,Euptychia rubricata,6,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Leda Ministreak,Ministrymon leda,Ministrymon leda,2,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Dainty Sulphur,Nathalis iole,Nathalis iole,2,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Two-tailed Swallowtail,Papilio multicaudata,Papilio multicaudata,4,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Cloudless Sulphur,Phoebis sennae,Phoebis sennae,1,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Carus Skipper,Polites carus,Yvretta carus,2,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Common Checkered-Skipper,Pyrgus communis,Pyrgus communis,1,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Desert Checkered-Skipper,Pyrgus philetas,Pyrgus philetas,2,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Golden-headed Scallopwing,Staphylus ceos,Staphylus ceos,19,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Gray Hairstreak,Strymon melinus,Strymon melinus,3,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Arizona Powdered-Skipper,Systasea zampa,Systasea zampa,7,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Elada Checkerspot,Texola elada,Texola elada,85,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,Northern Cloudywing,Thorybes pylades,Thorybes pylades,1,4,26
AtascosaHighlandsAZ,7/19/1980,AZ,USA,31.48,-111.16,American Lady,Vanessa virginiensis,Vanessa virginiensis,1,4,26
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Desert Cloudywing,Achalarus casica,Achalarus casica,1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Palmer's Metalmark,Apodemia palmeri,Apodemia palmerii,9,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Hackberry Emperor,Asterocampa celtis,Asterocampa celtis (montis),1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Tawny Emperor,Asterocampa clyton,Asterocampa clyton (subpallida),1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Empress Leilia,Asterocampa leilia,Asterocampa leila,7,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Great Purple Hairstreak,Atlides halesus,Atlides halesus,1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Pipevine Swallowtail,Battus philenor,Battus philenor,40,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Acacia Skipper,Cogia hippalus,Cogia hippalus,42,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Southern Dogface,Colias cesonia,Colias cesonia,1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Orange Skipperling,Copaeodes aurantiacus,Copaeodes aurantiaca,12,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Queen,Danaus gilippus,Danaus gilippus,26,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Mathew's Groundstreak,Electrostrymon mathewi,Amblyscirtes prenda,9,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Mournful Duskywing,Erynnis tristis,Erynnis tristis,1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Mexican Yellow,Eurema mexicana,Eurema mexicana,26,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Sleepy Orange,Eurema nicippe,Eurema nicippe,10,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Ceraunus Blue,Hemiargus ceraunus,Hemiargus ceraunus,110,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Reakirt's Blue,Hemiargus isola,Hemiargus isola,1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Marine Blue,Leptotes marina,Leptotes marina,647,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,American Snout,Libytheana carinenta,Libytheana bachmannii,12,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Viceroy,Limenitis archippus,Limenitis archippus,2,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Red Satyr,Megisto rubricata,Megisto rubricata,38,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Leda Ministreak,Ministrymon leda,Ministrymon leda,180,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Two-tailed Swallowtail,Papilio multicaudata,Papilio multicaudata,1,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Acmon Blue,Plebejus acmon,Plebejus acmon,2,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Gray Hairstreak,Strymon melinus,Strymon melinus,13,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Elada Checkerspot,Texola elada,Texola elada,3,2,19
AtascosaHighlandsAZ,6/20/1982,AZ,USA,31.48,-111.16,Painted Lady,Vanessa cardui,Vanessa cardui,1,2,19
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Desert Cloudywing,Achalarus casica,Achalarus casica,4,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,California Sister,Adelpha bredowii,Adelpha bredowii,15,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Gulf Fritillary,Agraulis vanillae,Agraulis vanillae,10,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Bronze Roadside-Skipper,Amblyscirtes aenus,Amblyscirtes aenus,50,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Cassus Roadside-Skipper,Amblyscirtes cassus,Amblyscirtes cassus,2,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Dotted Roadside-Skipper,Amblyscirtes eos,Amblyscirtes eos,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Nysa Roadside-Skipper,Amblyscirtes nysa,Amblyscirtes nysa,22,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Mormon Metalmark,Apodemia mormo,Apodemia mormo,2,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Tawny Emperor,Asterocampa clyton,Asterocampa clyton montis,8,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Empress Leilia,Asterocampa leilia,Asterocampa leila,32,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Moon-marked Skipper,Atrytonopsis lunus,Atrytonopsis lunus,5,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Golden Banded-Skipper,Autochton cellus,Autochton cellus,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Pipevine Swallowtail,Battus philenor,Battus philenor,55,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Arizona Metalmark,Calephelis arizonensis,Calephelis arizonensis,10,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Common Streaky-Skipper,Celotes nessus,Celotes nessus,22,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,White-striped Longtail,Chioides catillus,Chiodes catullus,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Bordered Patch,Chlosyne lacinia,Chlosyne lacinia,7,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Theona Checkerspot,Chlosyne theona,Thessalia theona,19,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Arizona Skipper,Codatractus arizonensis,Codatractus arizonensis,46,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Valeriana Skipper,Codatractus mysie,Phoedinus mysie,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Acacia Skipper,Cogia hippalus,Cogia hippalus,305,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Southern Dogface,Colias cesonia,Colias cesonia,14,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Orange Sulphur,Colias eurytheme,Colias eurytheme,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Orange Skipperling,Copaeodes aurantiacus,Copaeodes aurantiaca,11,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,'Henshaw's' Nabokov's Satyr,Cyllopsis pyracmon henshawi,Cyllopsis henshawi,1,4,26
AtascosaHighlandsAZ,7/30/1983,AZ,USA,31.48,-111.16,Queen,Danaus gilippus,Danaus gilippus,22,4,26
