Site,Date,State,LatinName,EnglishName,Season,Survey,ButterflyCount,HoursObserved
SantaRitaMountains,10/4/2020,AZ,Agathymus aryxna,Arizona giant skipper,Fall,2020 Fall,25,63.5
PatagoniaAZ,8/6/2019,AZ,Agraulis vanillae,Gulf fritillary,Summer,2019 Summer,5,71
RamseyCanyonAZ,8/1/2019,AZ,Agraulis vanillae,Gulf fritillary,Summer,2019 Summer,5,39.5
RamseyCanyonAZ,7/28/2020,AZ,Agraulis vanillae,Gulf fritillary,Summer,2020 Summer,5,55.5
SabinoCanyonAZ,7/23/2019,AZ,Agraulis vanillae,Gulf fritillary,Summer,2019 Summer,1,38.5
SabinoCanyonAZ,4/3/2020,AZ,Agraulis vanillae,Gulf fritillary,Spring,2020 Spring,2,62
SantaRitaMountains,9/28/2019,AZ,Agraulis vanillae,Gulf fritillary,Fall,2019 Fall,1,37.5
SantaRitaMountains,7/31/2020,AZ,Agraulis vanillae,Gulf fritillary,Summer,2020 Summer,1,60
SantaRitaMountains,10/4/2020,AZ,Agraulis vanillae,Gulf fritillary,Fall,2020 Fall,1,63.5
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2019 Summer,14,71
PortalAZ,7/25/2019,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2019 Summer,14,4
PortalAZ,8/2/2020,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2020 Summer,7,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2019 Summer,19,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2020 Summer,16,55.5
SabinoCanyonAZ,7/23/2019,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2019 Summer,6,38.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2019 Summer,18,48.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes aenus,Bronze roadside skipper,Summer,2020 Summer,15,60
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2019 Summer,6,71
PortalAZ,7/25/2019,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2019 Summer,18,4
PortalAZ,8/2/2020,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2020 Summer,8,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2019 Summer,4,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2020 Summer,16,55.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2019 Summer,21,48.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes cassus,Cassus roadside skipper,Summer,2020 Summer,26,60
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2019 Summer,6,71
PortalAZ,7/25/2019,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2019 Summer,2,4
PortalAZ,8/2/2020,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2020 Summer,3,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2019 Summer,8,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2020 Summer,1,55.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2019 Summer,2,48.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes eos,Dotted roadside skipper,Summer,2020 Summer,4,60
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2019 Summer,4,71
PortalAZ,7/25/2019,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2019 Summer,25,4
PortalAZ,8/2/2020,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2020 Summer,13,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2019 Summer,20,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2020 Summer,14,55.5
SabinoCanyonAZ,7/23/2019,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2019 Summer,1,38.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2019 Summer,14,48.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes exoteria,Large roadside skipper,Summer,2020 Summer,7,60
PortalAZ,7/25/2019,AZ,Amblyscirtes fimbriata,Orange-edged roadside skipper,Summer,2019 Summer,36,4
PortalAZ,8/2/2020,AZ,Amblyscirtes fimbriata,Orange-edged roadside skipper,Summer,2020 Summer,11,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes fimbriata,Orange-edged roadside skipper,Summer,2019 Summer,3,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes fimbriata,Orange-edged roadside skipper,Summer,2020 Summer,12,55.5
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes nereus,Slaty roadside skipper,Summer,2019 Summer,4,71
PortalAZ,7/25/2019,AZ,Amblyscirtes nereus,Slaty roadside skipper,Summer,2019 Summer,8,4
PortalAZ,8/2/2020,AZ,Amblyscirtes nereus,Slaty roadside skipper,Summer,2020 Summer,3,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes nereus,Slaty roadside skipper,Summer,2019 Summer,2,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes nereus,Slaty roadside skipper,Summer,2020 Summer,1,55.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes nereus,Slaty roadside skipper,Summer,2020 Summer,1,60
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes oslari,Oslar's roadside skipper,Summer,2019 Summer,3,39.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes oslari,Oslar's roadside skipper,Summer,2020 Summer,1,60
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes texanae,Texas roadside skipper,Summer,2019 Summer,15,71
PortalAZ,7/25/2019,AZ,Amblyscirtes texanae,Texas roadside skipper,Summer,2019 Summer,1,4
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes texanae,Texas roadside skipper,Summer,2019 Summer,10,39.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes texanae,Texas roadside skipper,Summer,2019 Summer,2,48.5
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes tolteca,Toltec roadside skipper,Summer,2019 Summer,2,71
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes tolteca,Toltec roadside skipper,Summer,2019 Summer,1,39.5
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes elissa,Elissa roadside skipper,Summer,2019 Summer,84,71
PortalAZ,8/2/2020,AZ,Amblyscirtes elissa,Elissa roadside skipper,Summer,2020 Summer,2,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes elissa,Elissa roadside skipper,Summer,2019 Summer,10,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes elissa,Elissa roadside skipper,Summer,2020 Summer,4,55.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes elissa,Elissa roadside skipper,Summer,2019 Summer,1,48.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes elissa,Elissa roadside skipper,Summer,2020 Summer,7,60
PatagoniaAZ,8/6/2019,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2019 Summer,20,71
PortalAZ,7/25/2019,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2019 Summer,1,4
PortalAZ,8/2/2020,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2020 Summer,2,21
RamseyCanyonAZ,8/1/2019,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2019 Summer,6,39.5
RamseyCanyonAZ,7/28/2020,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2020 Summer,6,55.5
SantaRitaMountains,7/28/2019,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2019 Summer,4,48.5
SantaRitaMountains,9/28/2019,AZ,Amblyscirtes nysa,Nysa roadside skipper,Fall,2019 Fall,1,37.5
SantaRitaMountains,7/31/2020,AZ,Amblyscirtes nysa,Nysa roadside skipper,Summer,2020 Summer,7,60
PatagoniaAZ,8/6/2019,AZ,Ancyloxypha arene,Tropical least skipper,Summer,2019 Summer,4,71
McDowellSonoranPreserve,4/6/2019,AZ,Anthocharis centhura pima,Pima desert orangetip,Spring,2019 Spring,9,20.55
McDowellSonoranPreserve,4/4/2020,AZ,Anthocharis centhura pima,Pima desert orangetip,Spring,2020 Spring,2,16.65
SabinoCanyonAZ,4/3/2020,AZ,Anthocharis centhura pima,Pima desert orangetip,Spring,2020 Spring,14,62
McDowellSonoranPreserve,4/4/2020,AZ,Anthocharis sara,Sara orangetip,Spring,2020 Spring,1,16.65
McDowellSonoranPreserve,4/3/2021,AZ,Anthocharis sara,Sara orangetip,Spring,2021 Spring,2,16.37
SabinoCanyonAZ,4/3/2020,AZ,Anthocharis sara,Sara orangetip,Spring,2020 Spring,61,62
McDowellSonoranPreserve,9/28/2019,AZ,Apodemia mormo,Mormon metalmark,Fall,2019 Fall,7,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Apodemia mormo,Mormon metalmark,Spring,2020 Spring,1,16.65
McDowellSonoranPreserve,9/26/2020,AZ,Apodemia mormo,Mormon metalmark,Fall,2020 Fall,6,15.33
McDowellSonoranPreserve,9/25/2021,AZ,Apodemia mormo,Mormon metalmark,Fall,2021 Fall,23,28.43
PatagoniaAZ,8/6/2019,AZ,Apodemia mormo,Mormon metalmark,Summer,2019 Summer,1,71
SantaRitaMountains,7/28/2019,AZ,Apodemia mormo,Mormon metalmark,Summer,2019 Summer,3,48.5
SantaRitaMountains,9/28/2019,AZ,Apodemia mormo,Mormon metalmark,Fall,2019 Fall,1,37.5
SantaRitaMountains,7/31/2020,AZ,Apodemia mormo,Mormon metalmark,Summer,2020 Summer,1,60
SantaRitaMountains,10/4/2020,AZ,Apodemia mormo,Mormon metalmark,Fall,2020 Fall,15,63.5
BoyceThompsonArboretum,9/7/2019,AZ,Apodemia palmeri,Palmer’s metalmark,Fall,2019 Fall,1,10
Cottonwood,8/29/2019,AZ,Apodemia palmeri,Palmer’s metalmark,Summer,2019 Summer,3,11
Cottonwood,8/26/2020,AZ,Apodemia palmeri,Palmer’s metalmark,Summer,2020 Summer,1,20
McDowellSonoranPreserve,9/25/2021,AZ,Apodemia palmeri,Palmer’s metalmark,Fall,2021 Fall,1,28.43
PatagoniaAZ,8/6/2019,AZ,Apodemia palmeri,Palmer’s metalmark,Summer,2019 Summer,3,71
RamseyCanyonAZ,7/28/2020,AZ,Apodemia palmeri,Palmer’s metalmark,Summer,2020 Summer,1,55.5
SantaRitaMountains,7/28/2019,AZ,Apodemia palmeri,Palmer’s metalmark,Summer,2019 Summer,3,48.5
SantaRitaMountains,9/28/2019,AZ,Apodemia palmeri,Palmer’s metalmark,Fall,2019 Fall,27,37.5
SantaRitaMountains,7/31/2020,AZ,Apodemia palmeri,Palmer’s metalmark,Summer,2020 Summer,22,60
SantaRitaMountains,10/4/2020,AZ,Apodemia palmeri,Palmer’s metalmark,Fall,2020 Fall,180,63.5
PortalAZ,7/25/2019,AZ,Apodemia nais,Nais metalmark,Summer,2019 Summer,14,4
RamseyCanyonAZ,7/28/2020,AZ,Apodemia nais,Nais metalmark,Summer,2020 Summer,4,55.5
SabinoCanyonAZ,7/23/2019,AZ,Apodemia nais,Nais metalmark,Summer,2019 Summer,60,38.5
PatagoniaAZ,8/6/2019,AZ,Asterocampa celtis,Hackberry emperor,Summer,2019 Summer,1,71
PortalAZ,7/25/2019,AZ,Asterocampa celtis,Hackberry emperor,Summer,2019 Summer,1,4
RamseyCanyonAZ,8/1/2019,AZ,Asterocampa celtis,Hackberry emperor,Summer,2019 Summer,2,39.5
RamseyCanyonAZ,7/28/2020,AZ,Asterocampa celtis,Hackberry emperor,Summer,2020 Summer,5,55.5
SantaRitaMountains,9/28/2019,AZ,Asterocampa celtis,Hackberry emperor,Fall,2019 Fall,7,37.5
SantaRitaMountains,7/31/2020,AZ,Asterocampa celtis,Hackberry emperor,Summer,2020 Summer,3,60
SantaRitaMountains,10/4/2020,AZ,Asterocampa celtis,Hackberry emperor,Fall,2020 Fall,3,63.5
PortalAZ,8/2/2020,AZ,Asterocampa clyton,Tawny emperor,Summer,2020 Summer,1,21
SantaRitaMountains,7/28/2019,AZ,Asterocampa clyton,Tawny emperor,Summer,2019 Summer,5,48.5
SantaRitaMountains,9/28/2019,AZ,Asterocampa clyton,Tawny emperor,Fall,2019 Fall,6,37.5
SantaRitaMountains,7/31/2020,AZ,Asterocampa clyton,Tawny emperor,Summer,2020 Summer,1,60
SantaRitaMountains,10/4/2020,AZ,Asterocampa clyton,Tawny emperor,Fall,2020 Fall,14,63.5
BoyceThompsonArboretum,9/7/2019,AZ,Asterocampa leilia,Empress leilia,Fall,2019 Fall,13,10
BoyceThompsonArboretum,9/12/2020,AZ,Asterocampa leilia,Empress leilia,Fall,2020 Fall,4,7.5
McDowellSonoranPreserve,4/6/2019,AZ,Asterocampa leilia,Empress leilia,Spring,2019 Spring,45,20.55
McDowellSonoranPreserve,9/28/2019,AZ,Asterocampa leilia,Empress leilia,Fall,2019 Fall,31,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Asterocampa leilia,Empress leilia,Spring,2020 Spring,31,16.65
McDowellSonoranPreserve,9/26/2020,AZ,Asterocampa leilia,Empress leilia,Fall,2020 Fall,12,15.33
McDowellSonoranPreserve,4/3/2021,AZ,Asterocampa leilia,Empress leilia,Spring,2021 Spring,32,16.37
McDowellSonoranPreserve,9/25/2021,AZ,Asterocampa leilia,Empress leilia,Fall,2021 Fall,429,28.43
PatagoniaAZ,8/6/2019,AZ,Asterocampa leilia,Empress leilia,Summer,2019 Summer,7,71
SabinoCanyonAZ,7/23/2019,AZ,Asterocampa leilia,Empress leilia,Summer,2019 Summer,17,38.5
SabinoCanyonAZ,4/3/2020,AZ,Asterocampa leilia,Empress leilia,Spring,2020 Spring,90,62
SabinoCanyonAZ,7/29/2020,AZ,Asterocampa leilia,Empress leilia,Summer,2020 Summer,3,14.5
SantaRitaMountains,7/28/2019,AZ,Asterocampa leilia,Empress leilia,Summer,2019 Summer,26,48.5
SantaRitaMountains,9/28/2019,AZ,Asterocampa leilia,Empress leilia,Fall,2019 Fall,18,37.5
SantaRitaMountains,7/31/2020,AZ,Asterocampa leilia,Empress leilia,Summer,2020 Summer,16,60
SantaRitaMountains,10/4/2020,AZ,Asterocampa leilia,Empress leilia,Fall,2020 Fall,34,63.5
Cottonwood,8/26/2020,AZ,Atalopedes campestris,Sachem,Summer,2020 Summer,6,20
SantaRitaMountains,7/28/2019,AZ,Atalopedes campestris,Sachem,Summer,2019 Summer,1,48.5
SantaRitaMountains,9/28/2019,AZ,Atalopedes campestris,Sachem,Fall,2019 Fall,1,37.5
McDowellSonoranPreserve,4/6/2019,AZ,Atlides halesus,Great purple hairstreak,Spring,2019 Spring,2,20.55
McDowellSonoranPreserve,9/25/2021,AZ,Atlides halesus,Great purple hairstreak,Fall,2021 Fall,34,28.43
PatagoniaAZ,8/6/2019,AZ,Atlides halesus,Great purple hairstreak,Summer,2019 Summer,3,71
RamseyCanyonAZ,7/28/2020,AZ,Atlides halesus,Great purple hairstreak,Summer,2020 Summer,1,55.5
SabinoCanyonAZ,4/3/2020,AZ,Atlides halesus,Great purple hairstreak,Spring,2020 Spring,3,62
SantaRitaMountains,10/4/2020,AZ,Atlides halesus,Great purple hairstreak,Fall,2020 Fall,3,63.5
SantaRitaMountains,9/28/2019,AZ,Atrytonopsis edwardsi,Sheep skipper,Fall,2019 Fall,2,37.5
PatagoniaAZ,8/6/2019,AZ,Atrytonopsis lunus,Moon-marked skipper,Summer,2019 Summer,4,71
PortalAZ,8/2/2020,AZ,Atrytonopsis lunus,Moon-marked skipper,Summer,2020 Summer,3,21
RamseyCanyonAZ,8/1/2019,AZ,Atrytonopsis lunus,Moon-marked skipper,Summer,2019 Summer,3,39.5
RamseyCanyonAZ,7/28/2020,AZ,Atrytonopsis lunus,Moon-marked skipper,Summer,2020 Summer,2,55.5
SabinoCanyonAZ,7/23/2019,AZ,Atrytonopsis lunus,Moon-marked skipper,Summer,2019 Summer,1,38.5
SantaRitaMountains,7/31/2020,AZ,Atrytonopsis lunus,Moon-marked skipper,Summer,2020 Summer,3,60
SabinoCanyonAZ,4/3/2020,AZ,Atrytonopsis pittacus,White-barred skipper,Spring,2020 Spring,13,62
PatagoniaAZ,8/6/2019,AZ,Autochton cellus,Golden banded-skipper,Summer,2019 Summer,20,71
PortalAZ,7/25/2019,AZ,Autochton cellus,Golden banded-skipper,Summer,2019 Summer,23,4
PortalAZ,8/2/2020,AZ,Autochton cellus,Golden banded-skipper,Summer,2020 Summer,3,21
RamseyCanyonAZ,8/1/2019,AZ,Autochton cellus,Golden banded-skipper,Summer,2019 Summer,4,39.5
RamseyCanyonAZ,7/28/2020,AZ,Autochton cellus,Golden banded-skipper,Summer,2020 Summer,8,55.5
SabinoCanyonAZ,7/23/2019,AZ,Autochton cellus,Golden banded-skipper,Summer,2019 Summer,1,38.5
SabinoCanyonAZ,7/29/2020,AZ,Autochton cellus,Golden banded-skipper,Summer,2020 Summer,1,14.5
SantaRitaMountains,7/28/2019,AZ,Autochton cellus,Golden banded-skipper,Summer,2019 Summer,17,48.5
SantaRitaMountains,7/31/2020,AZ,Autochton cellus,Golden banded-skipper,Summer,2020 Summer,1,60
BoyceThompsonArboretum,9/7/2019,AZ,Battus philenor,Pipevine swallowtail,Fall,2019 Fall,22,10
BoyceThompsonArboretum,9/12/2020,AZ,Battus philenor,Pipevine swallowtail,Fall,2020 Fall,1,7.5
McDowellSonoranPreserve,4/6/2019,AZ,Battus philenor,Pipevine swallowtail,Spring,2019 Spring,161,20.55
McDowellSonoranPreserve,9/28/2019,AZ,Battus philenor,Pipevine swallowtail,Fall,2019 Fall,2,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Battus philenor,Pipevine swallowtail,Spring,2020 Spring,11,16.65
McDowellSonoranPreserve,9/25/2021,AZ,Battus philenor,Pipevine swallowtail,Fall,2021 Fall,344,28.43
PatagoniaAZ,8/6/2019,AZ,Battus philenor,Pipevine swallowtail,Summer,2019 Summer,179,71
PortalAZ,7/25/2019,AZ,Battus philenor,Pipevine swallowtail,Summer,2019 Summer,25,4
PortalAZ,8/2/2020,AZ,Battus philenor,Pipevine swallowtail,Summer,2020 Summer,5,21
RamseyCanyonAZ,8/1/2019,AZ,Battus philenor,Pipevine swallowtail,Summer,2019 Summer,53,39.5
RamseyCanyonAZ,7/28/2020,AZ,Battus philenor,Pipevine swallowtail,Summer,2020 Summer,111,55.5
SabinoCanyonAZ,7/23/2019,AZ,Battus philenor,Pipevine swallowtail,Summer,2019 Summer,44,38.5
SabinoCanyonAZ,4/3/2020,AZ,Battus philenor,Pipevine swallowtail,Spring,2020 Spring,89,62
SabinoCanyonAZ,7/29/2020,AZ,Battus philenor,Pipevine swallowtail,Summer,2020 Summer,10,14.5
SantaRitaMountains,7/28/2019,AZ,Battus philenor,Pipevine swallowtail,Summer,2019 Summer,64,48.5
SantaRitaMountains,9/28/2019,AZ,Battus philenor,Pipevine swallowtail,Fall,2019 Fall,21,37.5
SantaRitaMountains,7/31/2020,AZ,Battus philenor,Pipevine swallowtail,Summer,2020 Summer,25,60
BoyceThompsonArboretum,9/12/2020,AZ,Brephidium exile,Western pygmy blue,Fall,2020 Fall,1,7.5
Cottonwood,8/29/2019,AZ,Brephidium exile,Western pygmy blue,Summer,2019 Summer,3,11
Cottonwood,8/26/2020,AZ,Brephidium exile,Western pygmy blue,Summer,2020 Summer,3,20
GrandCanyonN,7/25/2019,AZ,Brephidium exile,Western pygmy blue,Summer,2019 Summer,1,6
McDowellSonoranPreserve,4/6/2019,AZ,Brephidium exile,Western pygmy blue,Spring,2019 Spring,6,20.55
McDowellSonoranPreserve,4/3/2021,AZ,Brephidium exile,Western pygmy blue,Spring,2021 Spring,2,16.37
McDowellSonoranPreserve,9/25/2021,AZ,Brephidium exile,Western pygmy blue,Fall,2021 Fall,76,28.43
PatagoniaAZ,8/6/2019,AZ,Brephidium exile,Western pygmy blue,Summer,2019 Summer,1,71
RamseyCanyonAZ,8/1/2019,AZ,Brephidium exile,Western pygmy blue,Summer,2019 Summer,13,39.5
RamseyCanyonAZ,7/28/2020,AZ,Brephidium exile,Western pygmy blue,Summer,2020 Summer,30,55.5
SabinoCanyonAZ,4/3/2020,AZ,Brephidium exile,Western pygmy blue,Spring,2020 Spring,8,62
SabinoCanyonAZ,7/29/2020,AZ,Brephidium exile,Western pygmy blue,Summer,2020 Summer,2,14.5
SantaRitaMountains,9/28/2019,AZ,Brephidium exile,Western pygmy blue,Fall,2019 Fall,1,37.5
SantaRitaMountains,10/4/2020,AZ,Brephidium exile,Western pygmy blue,Fall,2020 Fall,5,63.5
PatagoniaAZ,8/6/2019,AZ,Calephelis arizonensis,Arizona metalmark,Summer,2019 Summer,2,71
RamseyCanyonAZ,8/1/2019,AZ,Calephelis arizonensis,Arizona metalmark,Summer,2019 Summer,1,39.5
RamseyCanyonAZ,7/28/2020,AZ,Calephelis arizonensis,Arizona metalmark,Summer,2020 Summer,1,55.5
SantaRitaMountains,9/28/2019,AZ,Calephelis arizonensis,Arizona metalmark,Fall,2019 Fall,16,37.5
SantaRitaMountains,7/31/2020,AZ,Calephelis arizonensis,Arizona metalmark,Summer,2020 Summer,2,60
SantaRitaMountains,10/4/2020,AZ,Calephelis arizonensis,Arizona metalmark,Fall,2020 Fall,57,63.5
BoyceThompsonArboretum,9/12/2020,AZ,Calephelis nemesis,Fatal metalmark,Fall,2020 Fall,2,7.5
McDowellSonoranPreserve,9/25/2021,AZ,Calephelis nemesis,Fatal metalmark,Fall,2021 Fall,1,28.43
PatagoniaAZ,8/6/2019,AZ,Calephelis nemesis,Fatal metalmark,Summer,2019 Summer,59,71
RamseyCanyonAZ,8/1/2019,AZ,Calephelis nemesis,Fatal metalmark,Summer,2019 Summer,7,39.5
RamseyCanyonAZ,7/28/2020,AZ,Calephelis nemesis,Fatal metalmark,Summer,2020 Summer,1,55.5
SabinoCanyonAZ,7/23/2019,AZ,Calephelis nemesis,Fatal metalmark,Summer,2019 Summer,8,38.5
SabinoCanyonAZ,7/29/2020,AZ,Calephelis nemesis,Fatal metalmark,Summer,2020 Summer,4,14.5
SantaRitaMountains,7/28/2019,AZ,Calephelis nemesis,Fatal metalmark,Summer,2019 Summer,2,48.5
SantaRitaMountains,9/28/2019,AZ,Calephelis nemesis,Fatal metalmark,Fall,2019 Fall,9,37.5
SantaRitaMountains,7/31/2020,AZ,Calephelis nemesis,Fatal metalmark,Summer,2020 Summer,3,60
SabinoCanyonAZ,4/3/2020,AZ,Callophrys augustinus,Brown elfin,Spring,2020 Spring,29,62
PatagoniaAZ,8/6/2019,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Summer,2019 Summer,1,71
PortalAZ,7/25/2019,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Summer,2019 Summer,5,4
RamseyCanyonAZ,7/28/2020,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Summer,2020 Summer,5,55.5
SabinoCanyonAZ,4/3/2020,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Spring,2020 Spring,11,62
SantaRitaMountains,7/28/2019,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Summer,2019 Summer,3,48.5
SantaRitaMountains,7/31/2020,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Summer,2020 Summer,3,60
SantaRitaMountains,10/4/2020,AZ,Callophrys gryneus siva,Siva juniper hairstreak,Fall,2020 Fall,2,63.5
SabinoCanyonAZ,7/23/2019,AZ,Callophrys spinetorum,Thicket hairstreak,Summer,2019 Summer,2,38.5
SabinoCanyonAZ,4/3/2020,AZ,Callophrys spinetorum,Thicket hairstreak,Spring,2020 Spring,1,62
SantaRitaMountains,7/31/2020,AZ,Callophrys spinetorum,Thicket hairstreak,Summer,2020 Summer,2,60
Cottonwood,8/29/2019,AZ,Celastrina argiolus,Spring azure,Summer,2019 Summer,3,11
GrandCanyonN,7/25/2019,AZ,Celastrina argiolus,Spring azure,Summer,2019 Summer,10,6
McDowellSonoranPreserve,4/6/2019,AZ,Celastrina argiolus,Spring azure,Spring,2019 Spring,48,20.55
McDowellSonoranPreserve,9/28/2019,AZ,Celastrina argiolus,Spring azure,Fall,2019 Fall,2,18.78
McDowellSonoranPreserve,4/4/2020,AZ,Celastrina argiolus,Spring azure,Spring,2020 Spring,169,16.65
McDowellSonoranPreserve,9/25/2021,AZ,Celastrina argiolus,Spring azure,Fall,2021 Fall,13,28.43
PortalAZ,7/25/2019,AZ,Celastrina argiolus,Spring azure,Summer,2019 Summer,11,4
PortalAZ,8/2/2020,AZ,Celastrina argiolus,Spring azure,Summer,2020 Summer,3,21
RamseyCanyonAZ,8/1/2019,AZ,Celastrina argiolus,Spring azure,Summer,2019 Summer,16,39.5
RamseyCanyonAZ,7/28/2020,AZ,Celastrina argiolus,Spring azure,Summer,2020 Summer,86,55.5
SabinoCanyonAZ,7/23/2019,AZ,Celastrina argiolus,Spring azure,Summer,2019 Summer,264,38.5
SabinoCanyonAZ,4/3/2020,AZ,Celastrina argiolus,Spring azure,Spring,2020 Spring,283,62
SabinoCanyonAZ,7/29/2020,AZ,Celastrina argiolus,Spring azure,Summer,2020 Summer,17,14.5
SantaRitaMountains,7/28/2019,AZ,Celastrina argiolus,Spring azure,Summer,2019 Summer,42,48.5
SantaRitaMountains,9/28/2019,AZ,Celastrina argiolus,Spring azure,Fall,2019 Fall,110,37.5
SantaRitaMountains,7/31/2020,AZ,Celastrina argiolus,Spring azure,Summer,2020 Summer,377,60
SantaRitaMountains,10/4/2020,AZ,Celastrina argiolus,Spring azure,Fall,2020 Fall,21,63.5
BoyceThompsonArboretum,9/12/2020,AZ,Celotes nessus,Common streaky skipper,Fall,2020 Fall,1,7.5
PatagoniaAZ,8/6/2019,AZ,Celotes nessus,Common streaky skipper,Summer,2019 Summer,9,71
RamseyCanyonAZ,8/1/2019,AZ,Celotes nessus,Common streaky skipper,Summer,2019 Summer,5,39.5
SabinoCanyonAZ,4/3/2020,AZ,Celotes nessus,Common streaky skipper,Spring,2020 Spring,11,62
SantaRitaMountains,7/28/2019,AZ,Celotes nessus,Common streaky skipper,Summer,2019 Summer,36,48.5
SantaRitaMountains,7/31/2020,AZ,Celotes nessus,Common streaky skipper,Summer,2020 Summer,5,60
PatagoniaAZ,8/6/2019,AZ,Chioides albofasciatus,White-striped longtail,Summer,2019 Summer,2,71
SabinoCanyonAZ,4/3/2020,AZ,Chiomara asychis,White-patched skipper,Spring,2020 Spring,1,62
SabinoCanyonAZ,4/3/2020,AZ,Chlosyne acastus,Sagebrush checkerspot,Spring,2020 Spring,48,62
McDowellSonoranPreserve,4/6/2019,AZ,Chlosyne californica,California patch,Spring,2019 Spring,65,20.55
McDowellSonoranPreserve,4/4/2020,AZ,Chlosyne californica,California patch,Spring,2020 Spring,25,16.65
McDowellSonoranPreserve,4/3/2021,AZ,Chlosyne californica,California patch,Spring,2021 Spring,15,16.37
McDowellSonoranPreserve,9/25/2021,AZ,Chlosyne californica,California patch,Fall,2021 Fall,405,28.43
SabinoCanyonAZ,4/3/2020,AZ,Chlosyne cyneas,Black checkerspot,Spring,2020 Spring,1,62
