Year,Month,Day,DataSource,Site,AcceptedName,ButterflyCount,HoursObserved
2007,8,18,Matt,PatagoniaAZ,Kricogonia lyside,6,58
2008,8,9,Matt,PatagoniaAZ,Kricogonia lyside,24,56
2009,8,8,Matt,PatagoniaAZ,Kricogonia lyside,66,71
2010,8,7,Matt,PatagoniaAZ,Kricogonia lyside,1,82
2016,8,8,Matt,PatagoniaAZ,Kricogonia lyside,17,45.5
2018,8,12,Matt,PatagoniaAZ,Kricogonia lyside,1,62.5
2000,7,29,Matt,PortalAZ,Kricogonia lyside,3,45
2001,7,28,Matt,PortalAZ,Kricogonia lyside,16,28.5
2004,8,14,Matt,PortalAZ,Kricogonia lyside,2,33.5
2005,8,13,Matt,PortalAZ,Kricogonia lyside,1,32
2009,7,25,Matt,PortalAZ,Kricogonia lyside,2,20
2012,7,28,Matt,PortalAZ,Kricogonia lyside,1,18
1983,8,6,Matt,RamseyCanyonAZ,Kricogonia lyside,1,56
1984,8,11,Matt,RamseyCanyonAZ,Kricogonia lyside,1,58.5
1986,8,16,Matt,RamseyCanyonAZ,Kricogonia lyside,10,52
1989,8,6,Matt,RamseyCanyonAZ,Kricogonia lyside,6,61
1990,8,4,Matt,RamseyCanyonAZ,Kricogonia lyside,1,55
1991,7,30,Matt,RamseyCanyonAZ,Kricogonia lyside,1,61.5
1992,8,2,Matt,RamseyCanyonAZ,Kricogonia lyside,4,55
1994,7,30,Matt,RamseyCanyonAZ,Kricogonia lyside,1,44
1997,8,2,Matt,RamseyCanyonAZ,Kricogonia lyside,108,58
1998,8,1,Matt,RamseyCanyonAZ,Kricogonia lyside,1,56.5
2000,8,5,Matt,RamseyCanyonAZ,Kricogonia lyside,11,56
2001,8,4,Matt,RamseyCanyonAZ,Kricogonia lyside,22,63
2003,8,2,Matt,RamseyCanyonAZ,Kricogonia lyside,5,47
2004,7,31,Matt,RamseyCanyonAZ,Kricogonia lyside,388,43.5
2008,8,2,Matt,RamseyCanyonAZ,Kricogonia lyside,8,54
2009,8,1,Matt,RamseyCanyonAZ,Kricogonia lyside,18,45
2012,8,4,Matt,RamseyCanyonAZ,Kricogonia lyside,2,56
2013,8,3,Matt,RamseyCanyonAZ,Kricogonia lyside,1,82
2014,8,2,Matt,RamseyCanyonAZ,Kricogonia lyside,2,45.5
2015,8,6,Matt,RamseyCanyonAZ,Kricogonia lyside,2,53
2016,8,1,Matt,RamseyCanyonAZ,Kricogonia lyside,2,41.5
2018,8,6,Matt,RamseyCanyonAZ,Kricogonia lyside,4,59.5
2000,7,26,Matt,SabinoCanyonAZ,Kricogonia lyside,1,21.5
2009,7,18,Matt,SabinoCanyonAZ,Kricogonia lyside,10,18
2015,7,18,Matt,SabinoCanyonAZ,Kricogonia lyside,1,29.5
2018,7,31,Matt,SabinoCanyonAZ,Kricogonia lyside,4,33.5
2012,7,29,Matt,SantaRitaMountains,Kricogonia lyside,1,18.5
2014,7,27,Matt,SantaRitaMountains,Kricogonia lyside,4,27
2015,7,26,Matt,SantaRitaMountains,Kricogonia lyside,5,43
1980,7,19,Matt,AtascosaHighlandsAZ,Leptotes marina,93,26
1982,6,20,Matt,AtascosaHighlandsAZ,Leptotes marina,647,19
1983,7,30,Matt,AtascosaHighlandsAZ,Leptotes marina,67,26
1984,8,5,Matt,AtascosaHighlandsAZ,Leptotes marina,147,41
1985,8,17,Matt,AtascosaHighlandsAZ,Leptotes marina,89,22
1986,8,30,Matt,AtascosaHighlandsAZ,Leptotes marina,361,35
1987,8,22,Matt,AtascosaHighlandsAZ,Leptotes marina,10,35
1988,8,13,Matt,AtascosaHighlandsAZ,Leptotes marina,145,33.5
1989,8,20,Matt,AtascosaHighlandsAZ,Leptotes marina,122,56
1990,8,18,Matt,AtascosaHighlandsAZ,Leptotes marina,335,50
1991,8,10,Matt,AtascosaHighlandsAZ,Leptotes marina,10,43.5
1992,8,16,Matt,AtascosaHighlandsAZ,Leptotes marina,324,62
1993,8,14,Matt,AtascosaHighlandsAZ,Leptotes marina,83,45
1994,8,13,Matt,AtascosaHighlandsAZ,Leptotes marina,336,28
1995,8,20,Matt,AtascosaHighlandsAZ,Leptotes marina,27,51
1996,8,18,Matt,AtascosaHighlandsAZ,Leptotes marina,52,42
1997,8,16,Matt,AtascosaHighlandsAZ,Leptotes marina,3,49
1998,8,15,Matt,AtascosaHighlandsAZ,Leptotes marina,382,53.5
1999,8,14,Matt,AtascosaHighlandsAZ,Leptotes marina,301,64
2000,8,19,Matt,AtascosaHighlandsAZ,Leptotes marina,385,65
2001,8,18,Matt,AtascosaHighlandsAZ,Leptotes marina,2024,56
2007,8,11,Matt,BoyceThompsonArboretum,Leptotes marina,2,15
2010,9,11,Matt,BoyceThompsonArboretum,Leptotes marina,11,12
2011,9,10,Matt,BoyceThompsonArboretum,Leptotes marina,4,25
2012,9,15,Matt,BoyceThompsonArboretum,Leptotes marina,2,14
2013,9,7,Matt,BoyceThompsonArboretum,Leptotes marina,3,16
2014,9,6,Matt,BoyceThompsonArboretum,Leptotes marina,9,10.5
2015,9,12,Matt,BoyceThompsonArboretum,Leptotes marina,4,12
2016,9,10,Matt,BoyceThompsonArboretum,Leptotes marina,5,7
2017,9,9,Matt,BoyceThompsonArboretum,Leptotes marina,5,12
2018,9,8,Matt,BoyceThompsonArboretum,Leptotes marina,10,9
2018,8,30,Matt,Cottonwood,Leptotes marina,9,7
2015,7,5,Matt,GrandCanyonNorthRim,Leptotes marina,1,6
2015,6,14,Matt,GrandCanyonSouthRim,Leptotes marina,1,6
1986,8,4,Matt,GuadalupeCanyonAZNM,Leptotes marina,12,10
2014,9,20,Matt,McDowellSonoranPreserve,Leptotes marina,13,8
2015,10,3,Matt,McDowellSonoranPreserve,Leptotes marina,1,14.5
2016,9,17,Matt,McDowellSonoranPreserve,Leptotes marina,27,12.5
2018,9,29,Matt,McDowellSonoranPreserve,Leptotes marina,60,13.5
1986,8,23,Matt,PatagoniaAZ,Leptotes marina,150,54
1987,8,15,Matt,PatagoniaAZ,Leptotes marina,8,54
1988,8,6,Matt,PatagoniaAZ,Leptotes marina,49,52
1989,8,13,Matt,PatagoniaAZ,Leptotes marina,6,65
1990,8,11,Matt,PatagoniaAZ,Leptotes marina,357,37
1991,8,6,Matt,PatagoniaAZ,Leptotes marina,47,61
1992,8,9,Matt,PatagoniaAZ,Leptotes marina,238,56.5
1993,8,7,Matt,PatagoniaAZ,Leptotes marina,105,55
1994,8,6,Matt,PatagoniaAZ,Leptotes marina,33,75
1995,8,13,Matt,PatagoniaAZ,Leptotes marina,96,60
1996,8,11,Matt,PatagoniaAZ,Leptotes marina,52,40
1997,8,9,Matt,PatagoniaAZ,Leptotes marina,11,51
1998,8,8,Matt,PatagoniaAZ,Leptotes marina,367,66.5
1999,8,9,Matt,PatagoniaAZ,Leptotes marina,277,72.5
2000,8,12,Matt,PatagoniaAZ,Leptotes marina,302,64
2001,8,11,Matt,PatagoniaAZ,Leptotes marina,209,75
2002,8,10,Matt,PatagoniaAZ,Leptotes marina,10,47.5
2003,8,9,Matt,PatagoniaAZ,Leptotes marina,15,43.5
2004,8,7,Matt,PatagoniaAZ,Leptotes marina,14,38
2005,8,6,Matt,PatagoniaAZ,Leptotes marina,31,61.5
2006,8,5,Matt,PatagoniaAZ,Leptotes marina,46,35
2007,8,18,Matt,PatagoniaAZ,Leptotes marina,19,58
2008,8,9,Matt,PatagoniaAZ,Leptotes marina,460,56
2009,8,8,Matt,PatagoniaAZ,Leptotes marina,266,71
2010,8,7,Matt,PatagoniaAZ,Leptotes marina,52,82
2011,8,6,Matt,PatagoniaAZ,Leptotes marina,86,79
2012,8,11,Matt,PatagoniaAZ,Leptotes marina,143,62
2013,8,10,Matt,PatagoniaAZ,Leptotes marina,197,73
2014,8,9,Matt,PatagoniaAZ,Leptotes marina,320,80
2015,8,11,Matt,PatagoniaAZ,Leptotes marina,708,81
2016,8,8,Matt,PatagoniaAZ,Leptotes marina,132,45.5
2017,8,7,Matt,PatagoniaAZ,Leptotes marina,68,54
2018,8,12,Matt,PatagoniaAZ,Leptotes marina,384,62.5
1999,8,28,Matt,PortalAZ,Leptotes marina,86,62
2000,7,29,Matt,PortalAZ,Leptotes marina,222,45
2001,7,28,Matt,PortalAZ,Leptotes marina,14,28.5
2002,7,27,Matt,PortalAZ,Leptotes marina,3,25
2004,8,14,Matt,PortalAZ,Leptotes marina,5,33.5
2005,8,13,Matt,PortalAZ,Leptotes marina,12,32
2009,7,25,Matt,PortalAZ,Leptotes marina,17,20
2012,7,28,Matt,PortalAZ,Leptotes marina,14,18
2013,7,27,Matt,PortalAZ,Leptotes marina,9,22.5
2014,7,26,Matt,PortalAZ,Leptotes marina,16,17
2015,8,2,Matt,PortalAZ,Leptotes marina,14,15.5
2016,7,23,Matt,PortalAZ,Leptotes marina,19,20
2017,7,23,Matt,PortalAZ,Leptotes marina,46,20
2018,7,27,Matt,PortalAZ,Leptotes marina,5,26.5
1979,7,15,Matt,RamseyCanyonAZ,Leptotes marina,192,32
1980,7,13,Matt,RamseyCanyonAZ,Leptotes marina,1515,17
1981,7,19,Matt,RamseyCanyonAZ,Leptotes marina,30,27
1982,6,24,Matt,RamseyCanyonAZ,Leptotes marina,426,33
1983,8,6,Matt,RamseyCanyonAZ,Leptotes marina,2200,56
1984,8,11,Matt,RamseyCanyonAZ,Leptotes marina,109,58.5
1985,8,10,Matt,RamseyCanyonAZ,Leptotes marina,21,52
1986,8,16,Matt,RamseyCanyonAZ,Leptotes marina,56,52
1987,8,9,Matt,RamseyCanyonAZ,Leptotes marina,4067,69
1988,7,30,Matt,RamseyCanyonAZ,Leptotes marina,2520,28
1989,8,6,Matt,RamseyCanyonAZ,Leptotes marina,16,61
1990,8,4,Matt,RamseyCanyonAZ,Leptotes marina,161,55
1991,7,30,Matt,RamseyCanyonAZ,Leptotes marina,165,61.5
1992,8,2,Matt,RamseyCanyonAZ,Leptotes marina,41,55
1993,7,31,Matt,RamseyCanyonAZ,Leptotes marina,135,45.5
1994,7,30,Matt,RamseyCanyonAZ,Leptotes marina,114,44
1995,8,6,Matt,RamseyCanyonAZ,Leptotes marina,443,70
1996,8,5,Matt,RamseyCanyonAZ,Leptotes marina,440,67.5
1997,8,2,Matt,RamseyCanyonAZ,Leptotes marina,60,58
1998,8,1,Matt,RamseyCanyonAZ,Leptotes marina,265,56.5
1999,8,3,Matt,RamseyCanyonAZ,Leptotes marina,160,76
2000,8,5,Matt,RamseyCanyonAZ,Leptotes marina,318,56
2001,8,4,Matt,RamseyCanyonAZ,Leptotes marina,15,63
2002,8,3,Matt,RamseyCanyonAZ,Leptotes marina,13,52
2003,8,2,Matt,RamseyCanyonAZ,Leptotes marina,12,47
2004,7,31,Matt,RamseyCanyonAZ,Leptotes marina,11,43.5
2005,7,31,Matt,RamseyCanyonAZ,Leptotes marina,20,54.5
2007,8,11,Matt,RamseyCanyonAZ,Leptotes marina,25,50
2008,8,2,Matt,RamseyCanyonAZ,Leptotes marina,52,54
2009,8,1,Matt,RamseyCanyonAZ,Leptotes marina,104,45
2010,7,31,Matt,RamseyCanyonAZ,Leptotes marina,18,50
2011,7,30,Matt,RamseyCanyonAZ,Leptotes marina,24,46.5
2012,8,4,Matt,RamseyCanyonAZ,Leptotes marina,31,56
2013,8,3,Matt,RamseyCanyonAZ,Leptotes marina,37,82
2014,8,2,Matt,RamseyCanyonAZ,Leptotes marina,27,45.5
2015,8,6,Matt,RamseyCanyonAZ,Leptotes marina,69,53
2016,8,1,Matt,RamseyCanyonAZ,Leptotes marina,33,41.5
2017,8,1,Matt,RamseyCanyonAZ,Leptotes marina,30,44
2018,8,6,Matt,RamseyCanyonAZ,Leptotes marina,42,59.5
1992,7,26,Matt,SabinoCanyonAZ,Leptotes marina,15,4.5
1993,7,30,Matt,SabinoCanyonAZ,Leptotes marina,25,5
1994,7,22,Matt,SabinoCanyonAZ,Leptotes marina,78,24
1995,7,29,Matt,SabinoCanyonAZ,Leptotes marina,340,18
1996,7,27,Matt,SabinoCanyonAZ,Leptotes marina,31,16
1998,8,1,Matt,SabinoCanyonAZ,Leptotes marina,6,7.5
2000,7,26,Matt,SabinoCanyonAZ,Leptotes marina,21,21.5
2001,7,18,Matt,SabinoCanyonAZ,Leptotes marina,10,23
2002,7,31,Matt,SabinoCanyonAZ,Leptotes marina,5,15
2008,7,19,Matt,SabinoCanyonAZ,Leptotes marina,10,14
2009,7,18,Matt,SabinoCanyonAZ,Leptotes marina,18,18
2010,7,17,Matt,SabinoCanyonAZ,Leptotes marina,90,32
2011,7,16,Matt,SabinoCanyonAZ,Leptotes marina,100,26.5
2012,7,21,Matt,SabinoCanyonAZ,Leptotes marina,4,18
2013,7,20,Matt,SabinoCanyonAZ,Leptotes marina,8,31.5
2014,7,19,Matt,SabinoCanyonAZ,Leptotes marina,58,33.5
2015,7,18,Matt,SabinoCanyonAZ,Leptotes marina,8,29.5
2016,7,16,Matt,SabinoCanyonAZ,Leptotes marina,256,45.5
2017,7,15,Matt,SabinoCanyonAZ,Leptotes marina,36,38.5
2018,7,31,Matt,SabinoCanyonAZ,Leptotes marina,12,33.5
2011,7,31,Matt,SantaRitaMountains,Leptotes marina,9,16
2012,7,29,Matt,SantaRitaMountains,Leptotes marina,43,18.5
2013,7,28,Matt,SantaRitaMountains,Leptotes marina,51,26.5
2014,7,27,Matt,SantaRitaMountains,Leptotes marina,50,27
2015,7,26,Matt,SantaRitaMountains,Leptotes marina,1231,43
2016,7,31,Matt,SantaRitaMountains,Leptotes marina,355,40.5
2017,7,26,Matt,SantaRitaMountains,Leptotes marina,66,38
2018,7,29,Matt,SantaRitaMountains,Leptotes marina,63,41.5
1980,7,15,Matt,SpringervilleAZ,Leptotes marina,10,9
1998,7,7,Matt,SycamoreCreekAZ,Leptotes marina,92,9
1999,7,23,Matt,SycamoreCreekAZ,Leptotes marina,5,10
2004,7,28,Matt,SycamoreCreekAZ,Leptotes marina,2,5.3
1992,8,16,Matt,AtascosaHighlandsAZ,Lerema accius,1,62
2001,8,18,Matt,AtascosaHighlandsAZ,Lerema accius,1,56
1992,8,9,Matt,PatagoniaAZ,Lerema accius,1,56.5
1994,8,6,Matt,PatagoniaAZ,Lerema accius,1,75
1996,8,11,Matt,PatagoniaAZ,Lerema accius,1,40
1998,8,8,Matt,PatagoniaAZ,Lerema accius,2,66.5
2001,8,11,Matt,PatagoniaAZ,Lerema accius,1,75
2007,8,18,Matt,PatagoniaAZ,Lerema accius,1,58
2008,8,9,Matt,PatagoniaAZ,Lerema accius,1,56
2010,8,7,Matt,PatagoniaAZ,Lerema accius,1,82
2015,8,11,Matt,PatagoniaAZ,Lerema accius,4,81
2016,8,8,Matt,PatagoniaAZ,Lerema accius,2,45.5
2018,8,12,Matt,PatagoniaAZ,Lerema accius,7,62.5
1981,7,19,Matt,RamseyCanyonAZ,Lerema accius,1,27
1993,7,31,Matt,RamseyCanyonAZ,Lerema accius,1,45.5
2015,8,6,Matt,RamseyCanyonAZ,Lerema accius,1,53
1993,8,14,Matt,AtascosaHighlandsAZ,Lerodea arabus,1,45
2017,9,9,Matt,BoyceThompsonArboretum,Lerodea arabus,2,12
2015,8,11,Matt,PatagoniaAZ,Lerodea arabus,1,81
1984,8,5,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,41
1985,8,17,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,22
1989,8,20,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,56
1991,8,10,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,43.5
1992,8,16,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,62
1993,8,14,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,45
1998,8,15,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,53.5
1999,8,14,Matt,AtascosaHighlandsAZ,Lerodea eufala,2,64
2000,8,19,Matt,AtascosaHighlandsAZ,Lerodea eufala,1,65
2007,8,11,Matt,BoyceThompsonArboretum,Lerodea eufala,2,15
2009,9,12,Matt,BoyceThompsonArboretum,Lerodea eufala,4,9.5
2010,9,11,Matt,BoyceThompsonArboretum,Lerodea eufala,5,12
2011,9,10,Matt,BoyceThompsonArboretum,Lerodea eufala,3,25
2012,9,15,Matt,BoyceThompsonArboretum,Lerodea eufala,2,14
2013,9,7,Matt,BoyceThompsonArboretum,Lerodea eufala,3,16
2014,9,6,Matt,BoyceThompsonArboretum,Lerodea eufala,4,10.5
2015,9,12,Matt,BoyceThompsonArboretum,Lerodea eufala,2,12
2016,9,10,Matt,BoyceThompsonArboretum,Lerodea eufala,4,7
2017,9,9,Matt,BoyceThompsonArboretum,Lerodea eufala,6,12
2018,9,8,Matt,BoyceThompsonArboretum,Lerodea eufala,1,9
2018,9,29,Matt,McDowellSonoranPreserve,Lerodea eufala,1,13.5
1986,8,23,Matt,PatagoniaAZ,Lerodea eufala,1,54
1989,8,13,Matt,PatagoniaAZ,Lerodea eufala,1,65
1991,8,6,Matt,PatagoniaAZ,Lerodea eufala,4,61
1993,8,7,Matt,PatagoniaAZ,Lerodea eufala,4,55
1994,8,6,Matt,PatagoniaAZ,Lerodea eufala,1,75
1995,8,13,Matt,PatagoniaAZ,Lerodea eufala,4,60
1996,8,11,Matt,PatagoniaAZ,Lerodea eufala,2,40
1997,8,9,Matt,PatagoniaAZ,Lerodea eufala,2,51
2000,8,12,Matt,PatagoniaAZ,Lerodea eufala,2,64
2001,8,11,Matt,PatagoniaAZ,Lerodea eufala,3,75
2002,8,10,Matt,PatagoniaAZ,Lerodea eufala,1,47.5
2004,8,7,Matt,PatagoniaAZ,Lerodea eufala,1,38
2005,8,6,Matt,PatagoniaAZ,Lerodea eufala,1,61.5
2007,8,18,Matt,PatagoniaAZ,Lerodea eufala,1,58
2008,8,9,Matt,PatagoniaAZ,Lerodea eufala,3,56
2009,8,8,Matt,PatagoniaAZ,Lerodea eufala,1,71
2010,8,7,Matt,PatagoniaAZ,Lerodea eufala,2,82
2011,8,6,Matt,PatagoniaAZ,Lerodea eufala,1,79
2012,8,11,Matt,PatagoniaAZ,Lerodea eufala,2,62
2014,8,9,Matt,PatagoniaAZ,Lerodea eufala,2,80
2015,8,11,Matt,PatagoniaAZ,Lerodea eufala,11,81
2017,8,7,Matt,PatagoniaAZ,Lerodea eufala,1,54
1984,8,11,Matt,RamseyCanyonAZ,Lerodea eufala,8,58.5
1985,8,10,Matt,RamseyCanyonAZ,Lerodea eufala,4,52
1986,8,16,Matt,RamseyCanyonAZ,Lerodea eufala,8,52
1987,8,9,Matt,RamseyCanyonAZ,Lerodea eufala,2,69
1989,8,6,Matt,RamseyCanyonAZ,Lerodea eufala,6,61
1991,7,30,Matt,RamseyCanyonAZ,Lerodea eufala,15,61.5
1992,8,2,Matt,RamseyCanyonAZ,Lerodea eufala,1,55
1993,7,31,Matt,RamseyCanyonAZ,Lerodea eufala,4,45.5
1994,7,30,Matt,RamseyCanyonAZ,Lerodea eufala,8,44
1995,8,6,Matt,RamseyCanyonAZ,Lerodea eufala,6,70
1996,8,5,Matt,RamseyCanyonAZ,Lerodea eufala,1,67.5
1997,8,2,Matt,RamseyCanyonAZ,Lerodea eufala,3,58
2000,8,5,Matt,RamseyCanyonAZ,Lerodea eufala,5,56
2001,8,4,Matt,RamseyCanyonAZ,Lerodea eufala,5,63
2005,7,31,Matt,RamseyCanyonAZ,Lerodea eufala,1,54.5
2008,8,2,Matt,RamseyCanyonAZ,Lerodea eufala,1,54
2009,8,1,Matt,RamseyCanyonAZ,Lerodea eufala,1,45
2010,7,31,Matt,RamseyCanyonAZ,Lerodea eufala,2,50
2012,8,4,Matt,RamseyCanyonAZ,Lerodea eufala,1,56
2015,8,6,Matt,RamseyCanyonAZ,Lerodea eufala,3,53
2016,8,1,Matt,RamseyCanyonAZ,Lerodea eufala,1,41.5
2018,8,6,Matt,RamseyCanyonAZ,Lerodea eufala,1,59.5
1982,6,20,Matt,AtascosaHighlandsAZ,Libytheana carinenta,12,19
1983,7,30,Matt,AtascosaHighlandsAZ,Libytheana carinenta,6,26
1984,8,5,Matt,AtascosaHighlandsAZ,Libytheana carinenta,2416,41
1985,8,17,Matt,AtascosaHighlandsAZ,Libytheana carinenta,1373,22
1986,8,30,Matt,AtascosaHighlandsAZ,Libytheana carinenta,694,35
1987,8,22,Matt,AtascosaHighlandsAZ,Libytheana carinenta,25,35
1988,8,13,Matt,AtascosaHighlandsAZ,Libytheana carinenta,322,33.5
1989,8,20,Matt,AtascosaHighlandsAZ,Libytheana carinenta,48,56
1990,8,18,Matt,AtascosaHighlandsAZ,Libytheana carinenta,576,50
1991,8,10,Matt,AtascosaHighlandsAZ,Libytheana carinenta,1,43.5
1992,8,16,Matt,AtascosaHighlandsAZ,Libytheana carinenta,63,62
1993,8,14,Matt,AtascosaHighlandsAZ,Libytheana carinenta,38,45
1994,8,13,Matt,AtascosaHighlandsAZ,Libytheana carinenta,28,28
1995,8,20,Matt,AtascosaHighlandsAZ,Libytheana carinenta,17,51
1996,8,18,Matt,AtascosaHighlandsAZ,Libytheana carinenta,957,42
1997,8,16,Matt,AtascosaHighlandsAZ,Libytheana carinenta,44,49
1998,8,15,Matt,AtascosaHighlandsAZ,Libytheana carinenta,154,53.5
1999,8,14,Matt,AtascosaHighlandsAZ,Libytheana carinenta,294,64
2000,8,19,Matt,AtascosaHighlandsAZ,Libytheana carinenta,826,65
2001,8,18,Matt,AtascosaHighlandsAZ,Libytheana carinenta,114,56
2007,8,11,Matt,BoyceThompsonArboretum,Libytheana carinenta,21,15
2010,9,11,Matt,BoyceThompsonArboretum,Libytheana carinenta,94,12
2011,9,10,Matt,BoyceThompsonArboretum,Libytheana carinenta,7,25
2012,9,15,Matt,BoyceThompsonArboretum,Libytheana carinenta,32,14
2014,9,6,Matt,BoyceThompsonArboretum,Libytheana carinenta,37,10.5
2015,9,12,Matt,BoyceThompsonArboretum,Libytheana carinenta,189,12
2016,9,10,Matt,BoyceThompsonArboretum,Libytheana carinenta,240,7
2017,9,9,Matt,BoyceThompsonArboretum,Libytheana carinenta,122,12
2018,9,8,Matt,BoyceThompsonArboretum,Libytheana carinenta,847,9
2015,5,31,Matt,GrandCanyonDesertView,Libytheana carinenta,2,6
2015,6,14,Matt,GrandCanyonSouthRim,Libytheana carinenta,1,6
1986,8,4,Matt,GuadalupeCanyonAZNM,Libytheana carinenta,75,10
2014,9,20,Matt,McDowellSonoranPreserve,Libytheana carinenta,115,8
2015,10,3,Matt,McDowellSonoranPreserve,Libytheana carinenta,22,14.5
2016,9,17,Matt,McDowellSonoranPreserve,Libytheana carinenta,20,12.5
2018,9,29,Matt,McDowellSonoranPreserve,Libytheana carinenta,75,13.5
1986,8,23,Matt,PatagoniaAZ,Libytheana carinenta,1709,54
1987,8,15,Matt,PatagoniaAZ,Libytheana carinenta,3,54
1988,8,6,Matt,PatagoniaAZ,Libytheana carinenta,7,52
1990,8,11,Matt,PatagoniaAZ,Libytheana carinenta,42,37
1991,8,6,Matt,PatagoniaAZ,Libytheana carinenta,21,61
1992,8,9,Matt,PatagoniaAZ,Libytheana carinenta,27,56.5
1993,8,7,Matt,PatagoniaAZ,Libytheana carinenta,22,55
1994,8,6,Matt,PatagoniaAZ,Libytheana carinenta,6,75
1995,8,13,Matt,PatagoniaAZ,Libytheana carinenta,8,60
1996,8,11,Matt,PatagoniaAZ,Libytheana carinenta,13,40
1997,8,9,Matt,PatagoniaAZ,Libytheana carinenta,3,51
1998,8,8,Matt,PatagoniaAZ,Libytheana carinenta,75,66.5
1999,8,9,Matt,PatagoniaAZ,Libytheana carinenta,83,72.5
2000,8,12,Matt,PatagoniaAZ,Libytheana carinenta,133,64
2001,8,11,Matt,PatagoniaAZ,Libytheana carinenta,303,75
2003,8,9,Matt,PatagoniaAZ,Libytheana carinenta,37,43.5
2004,8,7,Matt,PatagoniaAZ,Libytheana carinenta,7,38
2005,8,6,Matt,PatagoniaAZ,Libytheana carinenta,1,61.5
2006,8,5,Matt,PatagoniaAZ,Libytheana carinenta,5,35
2007,8,18,Matt,PatagoniaAZ,Libytheana carinenta,40,58
2008,8,9,Matt,PatagoniaAZ,Libytheana carinenta,125,56
2009,8,8,Matt,PatagoniaAZ,Libytheana carinenta,478,71
2010,8,7,Matt,PatagoniaAZ,Libytheana carinenta,13,82
2011,8,6,Matt,PatagoniaAZ,Libytheana carinenta,1,79
2012,8,11,Matt,PatagoniaAZ,Libytheana carinenta,575,62
2013,8,10,Matt,PatagoniaAZ,Libytheana carinenta,10,73
2014,8,9,Matt,PatagoniaAZ,Libytheana carinenta,21,80
2015,8,11,Matt,PatagoniaAZ,Libytheana carinenta,1363,81
2016,8,8,Matt,PatagoniaAZ,Libytheana carinenta,9,45.5
2017,8,7,Matt,PatagoniaAZ,Libytheana carinenta,31,54
2018,8,12,Matt,PatagoniaAZ,Libytheana carinenta,55,62.5
1999,8,28,Matt,PortalAZ,Libytheana carinenta,48,62
2000,7,29,Matt,PortalAZ,Libytheana carinenta,44,45
2001,7,28,Matt,PortalAZ,Libytheana carinenta,6,28.5
2004,8,14,Matt,PortalAZ,Libytheana carinenta,10,33.5
2009,7,25,Matt,PortalAZ,Libytheana carinenta,1,20
2018,7,27,Matt,PortalAZ,Libytheana carinenta,2,26.5
1979,7,15,Matt,RamseyCanyonAZ,Libytheana carinenta,1,32
1982,6,24,Matt,RamseyCanyonAZ,Libytheana carinenta,2,33
1983,8,6,Matt,RamseyCanyonAZ,Libytheana carinenta,3,56
1984,8,11,Matt,RamseyCanyonAZ,Libytheana carinenta,149,58.5
1985,8,10,Matt,RamseyCanyonAZ,Libytheana carinenta,42,52
1986,8,16,Matt,RamseyCanyonAZ,Libytheana carinenta,1499,52
1988,7,30,Matt,RamseyCanyonAZ,Libytheana carinenta,2,28
1990,8,4,Matt,RamseyCanyonAZ,Libytheana carinenta,1,55
1991,7,30,Matt,RamseyCanyonAZ,Libytheana carinenta,10,61.5
1992,8,2,Matt,RamseyCanyonAZ,Libytheana carinenta,1,55
1993,7,31,Matt,RamseyCanyonAZ,Libytheana carinenta,22,45.5
1994,7,30,Matt,RamseyCanyonAZ,Libytheana carinenta,3,44
1996,8,5,Matt,RamseyCanyonAZ,Libytheana carinenta,10,67.5
1997,8,2,Matt,RamseyCanyonAZ,Libytheana carinenta,1,58
1998,8,1,Matt,RamseyCanyonAZ,Libytheana carinenta,22,56.5
1999,8,3,Matt,RamseyCanyonAZ,Libytheana carinenta,20,76
2000,8,5,Matt,RamseyCanyonAZ,Libytheana carinenta,1252,56
2001,8,4,Matt,RamseyCanyonAZ,Libytheana carinenta,386,63
2005,7,31,Matt,RamseyCanyonAZ,Libytheana carinenta,1,54.5
2006,7,29,Matt,RamseyCanyonAZ,Libytheana carinenta,5,49
2007,8,11,Matt,RamseyCanyonAZ,Libytheana carinenta,4,50
2008,8,2,Matt,RamseyCanyonAZ,Libytheana carinenta,17,54
2009,8,1,Matt,RamseyCanyonAZ,Libytheana carinenta,18,45
2010,7,31,Matt,RamseyCanyonAZ,Libytheana carinenta,2,50
2012,8,4,Matt,RamseyCanyonAZ,Libytheana carinenta,52,56
2013,8,3,Matt,RamseyCanyonAZ,Libytheana carinenta,11,82
2014,8,2,Matt,RamseyCanyonAZ,Libytheana carinenta,2,45.5
2015,8,6,Matt,RamseyCanyonAZ,Libytheana carinenta,166,53
2016,8,1,Matt,RamseyCanyonAZ,Libytheana carinenta,2,41.5
2018,8,6,Matt,RamseyCanyonAZ,Libytheana carinenta,87,59.5
1992,7,26,Matt,SabinoCanyonAZ,Libytheana carinenta,2,4.5
1993,7,30,Matt,SabinoCanyonAZ,Libytheana carinenta,16,5
1995,7,29,Matt,SabinoCanyonAZ,Libytheana carinenta,2,18
