,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Apodemia mormo,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Mormon metalmark,Spring,2020 Spring,1,1
Apodemia mormo,McDowellSonoranPreserve,2020,09/26/2020,AZ,15.33,270,Mormon metalmark,Fall,2020 Fall,6,5
Apodemia mormo,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Mormon metalmark,Fall,2021 Fall,23,21
Apodemia mormo,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Mormon metalmark,Summer,2019 Summer,1,1
Apodemia mormo,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Mormon metalmark,Summer,2019 Summer,3,3
Apodemia mormo,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Mormon metalmark,Fall,2019 Fall,1,1
Apodemia mormo,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Mormon metalmark,Summer,2020 Summer,1,1
Apodemia mormo,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Mormon metalmark,Fall,2020 Fall,15,15
Apodemia palmeri,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Palmer’s metalmark,Fall,2019 Fall,1,1
Apodemia palmeri,Cottonwood,2019,08/29/2019,AZ,11,241,Palmer’s metalmark,Summer,2019 Summer,3,3
Apodemia palmeri,Cottonwood,2020,08/26/2020,AZ,20,239,Palmer’s metalmark,Summer,2020 Summer,1,1
Apodemia palmeri,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Palmer’s metalmark,Fall,2021 Fall,1,1
Apodemia palmeri,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Palmer’s metalmark,Summer,2019 Summer,3,3
Apodemia palmeri,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Palmer’s metalmark,Summer,2020 Summer,1,1
Apodemia palmeri,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Palmer’s metalmark,Summer,2019 Summer,3,3
Apodemia palmeri,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Palmer’s metalmark,Fall,2019 Fall,27,27
Apodemia palmeri,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Palmer’s metalmark,Summer,2020 Summer,22,22
Apodemia palmeri,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Palmer’s metalmark,Fall,2020 Fall,180,180
Apodemia nais,PortalAZ,2019,07/25/2019,AZ,4,206,Nais metalmark,Summer,2019 Summer,14,14
Apodemia nais,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Nais metalmark,Summer,2020 Summer,4,4
Apodemia nais,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Nais metalmark,Summer,2019 Summer,60,60
Asterocampa celtis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Hackberry emperor,Summer,2019 Summer,1,1
Asterocampa celtis,PortalAZ,2019,07/25/2019,AZ,4,206,Hackberry emperor,Summer,2019 Summer,1,1
Asterocampa celtis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Hackberry emperor,Summer,2019 Summer,2,2
Asterocampa celtis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Hackberry emperor,Summer,2020 Summer,5,5
Asterocampa celtis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Hackberry emperor,Fall,2019 Fall,7,7
Asterocampa celtis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Hackberry emperor,Summer,2020 Summer,3,3
Asterocampa celtis,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Hackberry emperor,Fall,2020 Fall,3,3
Asterocampa clyton,PortalAZ,2020,08/02/2020,AZ,21,215,Tawny emperor,Summer,2020 Summer,1,1
Asterocampa clyton,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Tawny emperor,Summer,2019 Summer,5,5
Asterocampa clyton,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Tawny emperor,Fall,2019 Fall,6,6
Asterocampa clyton,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Tawny emperor,Summer,2020 Summer,1,1
Asterocampa clyton,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Tawny emperor,Fall,2020 Fall,14,14
Asterocampa leilia,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Empress leilia,Fall,2019 Fall,13,13
Asterocampa leilia,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Empress leilia,Fall,2020 Fall,4,4
Asterocampa leilia,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Empress leilia,Spring,2019 Spring,45,33
Asterocampa leilia,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Empress leilia,Fall,2019 Fall,31,27
Asterocampa leilia,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Empress leilia,Spring,2020 Spring,31,26
Asterocampa leilia,McDowellSonoranPreserve,2020,09/26/2020,AZ,15.33,270,Empress leilia,Fall,2020 Fall,12,10
Asterocampa leilia,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Empress leilia,Spring,2021 Spring,32,21
Asterocampa leilia,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Empress leilia,Fall,2021 Fall,429,424
Asterocampa leilia,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Empress leilia,Summer,2019 Summer,7,7
Asterocampa leilia,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Empress leilia,Summer,2019 Summer,17,17
Asterocampa leilia,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Empress leilia,Spring,2020 Spring,90,90
Asterocampa leilia,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Empress leilia,Summer,2020 Summer,3,3
Asterocampa leilia,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Empress leilia,Summer,2019 Summer,26,26
Asterocampa leilia,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Empress leilia,Fall,2019 Fall,18,18
Asterocampa leilia,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Empress leilia,Summer,2020 Summer,16,16
Asterocampa leilia,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Empress leilia,Fall,2020 Fall,34,34
Atalopedes campestris,Cottonwood,2020,08/26/2020,AZ,20,239,Sachem,Summer,2020 Summer,6,6
Atalopedes campestris,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Sachem,Summer,2019 Summer,1,1
Atalopedes campestris,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Sachem,Fall,2019 Fall,1,1
Atlides halesus,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Great purple hairstreak,Spring,2019 Spring,2,2
Atlides halesus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Great purple hairstreak,Fall,2021 Fall,34,28
Atlides halesus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Great purple hairstreak,Summer,2019 Summer,3,3
Atlides halesus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Great purple hairstreak,Summer,2020 Summer,1,1
Atlides halesus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Great purple hairstreak,Spring,2020 Spring,3,3
Atlides halesus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Great purple hairstreak,Fall,2020 Fall,3,3
Atrytonopsis edwardsi,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Sheep skipper,Fall,2019 Fall,2,2
Atrytonopsis lunus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Moon-marked skipper,Summer,2019 Summer,4,4
Atrytonopsis lunus,PortalAZ,2020,08/02/2020,AZ,21,215,Moon-marked skipper,Summer,2020 Summer,3,3
Atrytonopsis lunus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Moon-marked skipper,Summer,2019 Summer,3,3
Atrytonopsis lunus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Moon-marked skipper,Summer,2020 Summer,2,2
Atrytonopsis lunus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Moon-marked skipper,Summer,2019 Summer,1,1
Atrytonopsis lunus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Moon-marked skipper,Summer,2020 Summer,3,3
Atrytonopsis pittacus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,White-barred skipper,Spring,2020 Spring,13,13
Autochton cellus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Golden banded-skipper,Summer,2019 Summer,20,20
Autochton cellus,PortalAZ,2019,07/25/2019,AZ,4,206,Golden banded-skipper,Summer,2019 Summer,23,23
Autochton cellus,PortalAZ,2020,08/02/2020,AZ,21,215,Golden banded-skipper,Summer,2020 Summer,3,3
Autochton cellus,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Golden banded-skipper,Summer,2019 Summer,4,4
Autochton cellus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Golden banded-skipper,Summer,2020 Summer,8,8
Autochton cellus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Golden banded-skipper,Summer,2019 Summer,1,1
Autochton cellus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Golden banded-skipper,Summer,2020 Summer,1,1
Autochton cellus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Golden banded-skipper,Summer,2019 Summer,17,17
Autochton cellus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Golden banded-skipper,Summer,2020 Summer,1,1
Battus philenor,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Pipevine swallowtail,Fall,2019 Fall,22,22
Battus philenor,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Pipevine swallowtail,Fall,2020 Fall,1,1
Battus philenor,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Pipevine swallowtail,Spring,2019 Spring,161,145
Battus philenor,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Pipevine swallowtail,Fall,2019 Fall,2,2
Battus philenor,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Pipevine swallowtail,Spring,2020 Spring,11,10
Battus philenor,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Pipevine swallowtail,Fall,2021 Fall,344,330
Battus philenor,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Pipevine swallowtail,Summer,2019 Summer,179,179
Battus philenor,PortalAZ,2019,07/25/2019,AZ,4,206,Pipevine swallowtail,Summer,2019 Summer,25,25
Battus philenor,PortalAZ,2020,08/02/2020,AZ,21,215,Pipevine swallowtail,Summer,2020 Summer,5,5
Battus philenor,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Pipevine swallowtail,Summer,2019 Summer,53,53
Battus philenor,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Pipevine swallowtail,Summer,2020 Summer,111,111
Battus philenor,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Pipevine swallowtail,Summer,2019 Summer,44,44
Battus philenor,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Pipevine swallowtail,Spring,2020 Spring,89,89
Battus philenor,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Pipevine swallowtail,Summer,2020 Summer,10,10
Battus philenor,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Pipevine swallowtail,Summer,2019 Summer,64,64
Battus philenor,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Pipevine swallowtail,Fall,2019 Fall,21,21
Battus philenor,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Pipevine swallowtail,Summer,2020 Summer,25,25
Brephidium exile,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Western pygmy blue,Fall,2020 Fall,1,1
Brephidium exile,Cottonwood,2019,08/29/2019,AZ,11,241,Western pygmy blue,Summer,2019 Summer,3,3
Brephidium exile,Cottonwood,2020,08/26/2020,AZ,20,239,Western pygmy blue,Summer,2020 Summer,3,3
Brephidium exile,GrandCanyonN,2019,07/25/2019,AZ,6,206,Western pygmy blue,Summer,2019 Summer,1,1
Brephidium exile,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Western pygmy blue,Spring,2019 Spring,6,6
Brephidium exile,McDowellSonoranPreserve,2021,04/03/2021,AZ,16.37,93,Western pygmy blue,Spring,2021 Spring,2,2
Brephidium exile,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Western pygmy blue,Fall,2021 Fall,76,75
Brephidium exile,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Western pygmy blue,Summer,2019 Summer,1,1
Brephidium exile,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Western pygmy blue,Summer,2019 Summer,13,13
Brephidium exile,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Western pygmy blue,Summer,2020 Summer,30,30
Brephidium exile,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Western pygmy blue,Spring,2020 Spring,8,8
Brephidium exile,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Western pygmy blue,Summer,2020 Summer,2,2
Brephidium exile,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Western pygmy blue,Fall,2019 Fall,1,1
Brephidium exile,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Western pygmy blue,Fall,2020 Fall,5,5
Calephelis arizonensis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Arizona metalmark,Summer,2019 Summer,2,2
Calephelis arizonensis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Arizona metalmark,Summer,2019 Summer,1,1
Calephelis arizonensis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Arizona metalmark,Summer,2020 Summer,1,1
Calephelis arizonensis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Arizona metalmark,Fall,2019 Fall,16,16
Calephelis arizonensis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Arizona metalmark,Summer,2020 Summer,2,2
