"","reps","median","low","up","prob"
"",12,-0.014,-0.102,0.075,0.629
"",12,-0.017,-0.108,0.07,0.661
"",12,-0.02,-0.115,0.074,0.675
"",12,0.004,-0.085,0.093,0.54
"",12,-0.014,-0.109,0.075,0.629
"",12,-0.009,-0.097,0.081,0.586
"",12,0.002,-0.091,0.092,0.518
"",12,-0.028,-0.126,0.075,0.727
"",12,-0.001,-0.095,0.094,0.511
"",12,-0.025,-0.11,0.061,0.727
"",12,0.003,-0.09,0.097,0.527
"",12,0.004,-0.084,0.097,0.533
"",12,-0.018,-0.107,0.077,0.661
"",12,-0.034,-0.13,0.061,0.777
"",12,-0.046,-0.159,0.069,0.81
"",12,-0.038,-0.151,0.08,0.761
"",12,-0.02,-0.114,0.067,0.682
"",12,-0.054,-0.144,0.039,0.887
"",12,-0.025,-0.113,0.059,0.729
"",12,-0.03,-0.129,0.07,0.739
"",12,0.003,-0.081,0.091,0.526
"",12,-0.011,-0.108,0.085,0.595
"",12,-0.01,-0.096,0.078,0.595
"",12,-0.007,-0.097,0.081,0.563
"",12,-0.066,-0.169,0.04,0.905
"",12,-0.035,-0.145,0.073,0.752
"",12,-0.048,-0.157,0.06,0.82
"",12,-0.02,-0.113,0.07,0.675
"",12,0.003,-0.087,0.093,0.533
"",12,-0.039,-0.127,0.057,0.814
"",12,0.002,-0.095,0.092,0.516
"",12,-0.016,-0.109,0.08,0.638
"",12,-0.039,-0.135,0.056,0.802
"",12,0.012,-0.075,0.102,0.614
"",12,-0.012,-0.104,0.082,0.612
"",12,-0.007,-0.101,0.086,0.56
"",12,-0.014,-0.1,0.071,0.642
"",12,-0.002,-0.09,0.084,0.523
"",12,-0.029,-0.118,0.062,0.757
"",12,-0.021,-0.111,0.065,0.692
"",12,-0.011,-0.107,0.086,0.595
"",12,0.023,-0.067,0.111,0.704
"",12,-0.022,-0.112,0.072,0.691
"",12,0.015,-0.083,0.107,0.633
"",12,0.013,-0.078,0.101,0.623
"",12,-0.016,-0.104,0.076,0.649
"",12,-0.026,-0.123,0.071,0.715
"",12,-0.049,-0.157,0.059,0.831
"",12,-0.016,-0.11,0.073,0.647
"",12,0.002,-0.09,0.099,0.521
"",12,0.01,-0.085,0.101,0.59
"",12,-0.027,-0.12,0.06,0.737
"",12,-0.025,-0.135,0.087,0.683
"",12,-0.002,-0.09,0.086,0.519
"",22,-0.028,-0.085,0.03,0.841
"",22,0.011,-0.037,0.06,0.685
"",22,-0.002,-0.053,0.05,0.531
"",22,-0.037,-0.094,0.022,0.899
"",22,-0.016,-0.064,0.032,0.759
"",22,-0.015,-0.075,0.043,0.702
"",22,-0.035,-0.094,0.025,0.878
"",22,-0.013,-0.061,0.035,0.71
"",22,-0.006,-0.056,0.046,0.59
"",22,-0.012,-0.062,0.037,0.694
"",22,-0.014,-0.07,0.041,0.699
"",22,-0.024,-0.076,0.028,0.822
"",22,-0.007,-0.057,0.041,0.613
"",22,-0.025,-0.073,0.022,0.855
"",22,-0.034,-0.095,0.023,0.877
"",22,0.008,-0.039,0.055,0.63
"",22,-0.018,-0.078,0.041,0.73
"",22,-0.03,-0.089,0.031,0.84
"",22,-0.035,-0.092,0.024,0.887
"",22,-0.013,-0.064,0.039,0.701
"",22,-0.004,-0.064,0.055,0.556
"",22,-0.035,-0.086,0.019,0.906
"",22,-0.024,-0.077,0.027,0.832
"",22,-0.025,-0.089,0.041,0.779
"",22,-0.035,-0.094,0.024,0.886
"",22,-0.015,-0.067,0.037,0.718
"",22,0.005,-0.042,0.052,0.585
"",22,-0.016,-0.076,0.044,0.712
"",22,-0.018,-0.077,0.04,0.737
"",22,-0.029,-0.084,0.025,0.855
"",22,-0.02,-0.071,0.029,0.793
"",22,0.003,-0.044,0.05,0.552
"",22,-0.024,-0.073,0.027,0.836
"",22,-0.009,-0.061,0.042,0.638
"",22,-0.026,-0.082,0.028,0.831
"",22,-0.033,-0.093,0.026,0.87
"",22,-0.015,-0.062,0.034,0.748
"",22,-0.002,-0.05,0.048,0.533
"",22,-0.002,-0.054,0.047,0.538
"",22,-0.019,-0.065,0.03,0.79
"",22,-0.013,-0.065,0.038,0.704
"",22,-0.015,-0.072,0.046,0.693
"",22,-0.027,-0.087,0.03,0.827
"",22,-0.003,-0.053,0.043,0.549
"",22,-0.021,-0.068,0.027,0.811
"",22,-0.001,-0.052,0.049,0.517
"",22,-0.031,-0.091,0.028,0.856
"",22,-0.013,-0.065,0.041,0.685
"",22,-0.011,-0.058,0.038,0.681
"",22,-0.015,-0.07,0.04,0.719
"",22,-0.015,-0.063,0.035,0.725
"",22,-0.006,-0.058,0.044,0.592
"",22,-0.043,-0.101,0.018,0.923
"",22,-0.001,-0.048,0.047,0.51
"",22,-0.01,-0.061,0.041,0.654
"",22,-0.043,-0.102,0.017,0.925
"",22,-0.03,-0.085,0.024,0.87
"",22,-0.032,-0.093,0.033,0.848
"",22,0.004,-0.049,0.059,0.559
"",22,-0.008,-0.058,0.04,0.636
"",22,-0.037,-0.098,0.023,0.89
"",22,-0.008,-0.056,0.037,0.643
"",22,-0.046,-0.104,0.012,0.942
"",22,-0.035,-0.089,0.02,0.899
"",22,-0.013,-0.063,0.035,0.702
"",22,-0.027,-0.088,0.032,0.818
"",22,-0.024,-0.084,0.032,0.809
"",22,-0.007,-0.061,0.045,0.611
"",22,-0.029,-0.08,0.022,0.872
"",22,-0.004,-0.055,0.044,0.57
"",22,-0.036,-0.097,0.024,0.883
"",22,-0.029,-0.081,0.023,0.87
"",22,-0.024,-0.074,0.026,0.835
"",22,0.005,-0.045,0.054,0.582
"",22,-0.02,-0.072,0.033,0.784
"",22,0.001,-0.047,0.05,0.518
"",22,-0.025,-0.072,0.023,0.855
"",22,-0.047,-0.107,0.011,0.944
"",22,-0.009,-0.062,0.045,0.64
"",22,-0.003,-0.051,0.044,0.552
"",22,-0.023,-0.07,0.026,0.839
"",22,-0.016,-0.064,0.031,0.757
"",22,-0.009,-0.061,0.041,0.651
"",22,-0.019,-0.069,0.033,0.78
"",22,-0.041,-0.1,0.017,0.922
"",22,-0.006,-0.054,0.043,0.594
"",22,-0.017,-0.068,0.033,0.745
"",22,-0.012,-0.065,0.04,0.684
"",22,0,-0.048,0.049,0.506
"",22,-0.026,-0.082,0.025,0.839
"",22,-0.003,-0.051,0.044,0.55
"",22,0,-0.048,0.052,0.505
"",22,-0.017,-0.065,0.03,0.766
"",22,-0.047,-0.104,0.009,0.952
"",22,-0.003,-0.058,0.052,0.536
"",22,-0.023,-0.071,0.026,0.828
"",22,-0.021,-0.073,0.033,0.789
"",22,-0.042,-0.099,0.016,0.927
"",22,-0.007,-0.057,0.047,0.605
"",22,-0.008,-0.057,0.042,0.628
"",32,-0.016,-0.058,0.025,0.782
"",32,-0.005,-0.042,0.033,0.604
"",32,-0.021,-0.062,0.019,0.852
"",32,-0.014,-0.056,0.025,0.762
