"","reps","median","low","up","prob"
"",62,-0.021,-0.044,0.002,0.964
"",62,-0.017,-0.041,0.007,0.92
"",62,-0.02,-0.044,0.004,0.949
"",62,-0.014,-0.037,0.01,0.877
"",62,-0.016,-0.039,0.007,0.912
"",62,-0.018,-0.042,0.005,0.939
"",62,-0.013,-0.034,0.009,0.889
"",62,-0.019,-0.041,0.005,0.948
"",62,-0.018,-0.041,0.005,0.931
"",62,-0.02,-0.043,0.003,0.956
"",62,-0.011,-0.032,0.01,0.84
"",62,-0.012,-0.036,0.011,0.85
"",62,-0.014,-0.037,0.009,0.885
"",62,-0.019,-0.042,0.005,0.945
"",62,-0.012,-0.033,0.008,0.88
"",62,-0.016,-0.04,0.008,0.912
"",62,-0.015,-0.038,0.01,0.886
"",62,-0.018,-0.041,0.005,0.935
"",62,-0.014,-0.038,0.01,0.883
"",62,-0.014,-0.034,0.006,0.916
"",62,-0.014,-0.036,0.008,0.887
"",62,-0.012,-0.034,0.01,0.85
"",62,-0.018,-0.042,0.005,0.939
"",62,-0.015,-0.038,0.009,0.898
"",62,-0.019,-0.043,0.004,0.941
"",62,-0.013,-0.034,0.007,0.901
"",62,-0.02,-0.043,0.003,0.955
"",62,-0.015,-0.039,0.007,0.908
"",62,-0.02,-0.044,0.003,0.956
"",62,-0.018,-0.043,0.004,0.94
"",62,-0.008,-0.031,0.014,0.764
"",62,-0.016,-0.04,0.008,0.915
"",62,-0.018,-0.041,0.005,0.938
"",62,-0.008,-0.028,0.012,0.795
"",62,-0.019,-0.043,0.004,0.941
"",62,-0.02,-0.044,0.004,0.952
"",62,-0.017,-0.039,0.006,0.922
"",62,-0.012,-0.036,0.01,0.863
"",62,-0.021,-0.044,0.003,0.963
"",62,-0.014,-0.038,0.008,0.889
"",62,-0.017,-0.041,0.006,0.924
"",62,-0.021,-0.044,0.002,0.962
"",62,-0.015,-0.039,0.009,0.897
"",62,-0.018,-0.04,0.006,0.94
"",62,-0.021,-0.044,0.002,0.966
"",62,-0.017,-0.04,0.007,0.922
"",62,-0.016,-0.039,0.009,0.9
"",62,-0.014,-0.038,0.008,0.876
"",62,-0.008,-0.028,0.012,0.787
"",62,-0.015,-0.036,0.006,0.92
"",62,-0.019,-0.042,0.003,0.954
"",62,-0.016,-0.041,0.006,0.916
"",62,-0.016,-0.04,0.007,0.916
"",62,-0.014,-0.037,0.01,0.877
"",62,-0.011,-0.033,0.01,0.851
"",62,-0.012,-0.033,0.009,0.87
"",62,-0.019,-0.042,0.004,0.949
"",62,-0.012,-0.033,0.01,0.862
"",62,-0.019,-0.042,0.004,0.945
"",62,-0.02,-0.043,0.003,0.958
"",62,-0.017,-0.041,0.007,0.919
"",62,-0.023,-0.046,0,0.977
"",62,-0.016,-0.039,0.007,0.922
"",62,-0.016,-0.04,0.007,0.911
"resH",71,-0.016,-0.037,0.005,0.934
