fourthSp,Growth,Families,numFam,numGen
Glaucopsyche piasus,herb/shrub,leguminosae,1,2
Habrodais grunus,tree,fagaceae,1,3
Heliopetes domicella,na,na,NA,NA
Heliopetes ericetorum,herb,more,2,8
Hemiargus ceraunus,herb/shrub,leguminosae,1,9
Hemiargus isola,herb/shrub,leguminosae,1,13
Hesperia columbia,grass,poaceae,1,1
Hesperia comma,grass,more,2,9
Hesperia juba,grass,poaceae,1,4
Hesperia lindseyi,grass,poaceae,1,3
Hesperia nevada,grass,poaceae,1,4
Hesperia ottoe,grass,more,2,7
Hesperia pahaska,grass,poaceae,1,2
Hesperia uncas,grass,poaceae,1,3
Hesperia viridis,grass,poaceae,1,4
Hesperopsis alpheus,shrub,chenopodiaceae,1,2
Hylephila phyleus,grass,poaceae,1,5
Hypaurotis crysalus,tree,fagaceae,1,1
Junonia coenia,herb,more,5,21
Junonia genoveva,herb,verbenaceae,1,NA
Kricogonia lyside,shrub/tree,zygophyllaceae,1,1
Leptotes marina,herb,more,2,15
Lerema accius,grass,poaceae,1,9
Lerodea eufala,grass,poaceae,1,8
Libytheana carinenta,tree,ulmaceae,1,1
Limenitis archippus,tree,more,3,9
Limenitis arthemis,tree,more,6,13
Limenitis lorquini,shrub/tree,more,4,9
Limenitis weidemeyerii,shrub/tree,more,2,5
Lycaeides idas,herb/shrub,more,2,6
Lycaeides melissa,herb/shrub,leguminosae,1,8
Lycaena arota,shrub,grossulariaceae,1,1
Lycaena cupreus,herb,polygonaceae,1,2
Lycaena dione,herb,polygonaceae,1,1
Lycaena dorcas,shrub,rosaceae,1,2
Lycaena editha,herb,polygonaceae,1,2
Lycaena gorgon,herb,polygonaceae,1,1
Lycaena helloides,herb,more,2,3
Lycaena heteronea,herb,polygonaceae,1,1
Lycaena hyllus,herb,polygonaceae,1,2
Lycaena mariposa,shrub,ericaceae,1,1
Lycaena nivalis,herb,polygonaceae,1,1
Lycaena phlaeas,herb,polygonaceae,1,2
Lycaena rubidus,herb,polygonaceae,1,2
Lycaena xanthoides,herb,polygonaceae,1,2
Megathymus ursus,shrub,agavaceae,1,1
Megisto rubricata,na,na,NA,NA
Microtia elva,na,na,NA,NA
Ministrymon leda,tree,leguminosae,1,1
Nathalis iole,herb,compositae,1,7
Neominois ridingsii,grass,poaceae,1,1
Neophasia menapia,tree,pinaceae,1,5
Neophasia terlootii,tree,pinaceae,1,1
Notamblyscirtes simius,grass,poaceae,1,1
Nymphalis antiopa,tree,more,9,18
Nymphalis californica,shrub,rhamnaceae,1,1
Nymphalis milberti,herb,urticaceae,1,1
Oarisma edwardsii,na,na,NA,NA
Oarisma garita,grass,poaceae,1,5
Ochlodes agricola,grass,poaceae,1,NA
Ochlodes sylvanoides,grass,poaceae,1,4
Ochlodes yuma,grass,poaceae,1,1
Oeneis chryxus,grass,more,2,4
Oeneis melissa,grass,cyperaceae,1,1
Oeneis nevadensis,grass,na,NA,NA
Oeneis taygete,grass,more,2,2
Oeneis uhleri,grass,poaceae,1,NA
Panoquina errans,grass,poaceae,1,1
Papilio cresphontes,herb/tree,more,1,8
Papilio eurymedon,shrub/tree,more,3,8
Papilio indra,herb,umbelliferae,1,6
Papilio machaon,herb,compositae,1,NA
Papilio multicaudata,shrub/tree,more,4,7
Papilio polyxenes,herb/shrub,more,2,28
Papilio rutulus,shrub/tree,more,11,15
Papilio zelicaon,herb,more,2,25
Paramacera allyni,na,na,NA,NA
Paratrytone snowi,grass,more,2,6
Parnassius clodius,herb,fumariaceae,1,1
Parnassius phoebus,herb,crassulaceae,1,1
Philotes sonorensis,herb,crassulaceae,1,1
Phoebis agarithe,shrub/tree,leguminosae,1,NA
Phoebis sennae,herb/shrub,leguminosae,1,2
Pholisora catullus,herb,more,2,4
Phyciodes campestris,herb,compositae,1,2
Phyciodes mylitta,herb,more,2,5
Phyciodes orseis,herb,compositae,1,1
Phyciodes pallida,herb,compositae,1,1
Phyciodes picta,herb,convulvulaceae,1,1
Phyciodes selenis,herb,compositae,1,1
Phyciodes texana,herb,acanthaceae,1,3
Phyciodes tharos,herb,compositae,1,1
Pieris napi,herb,crucifierae,1,14
Pieris rapae,herb,more,4,27
Piruna cingo,na,na,NA,NA
Piruna pirus,grass,poaceae,1,NA
Piruna polingi,na,na,NA,NA
Plebejus acmon,herb/shrub,more,2,6
Plebejus emigdionis,shrub,chenopodiaceae,1,1
Plebejus icarioides,shrub,leguminosae,1,1
Plebejus lupini,shrub,polygonaceae,1,1
Plebejus neurona,shrub,polygonaceae,1,1
Plebejus saepiolus,herb,leguminosae,1,1
Plebejus shasta,herb,leguminosae,1,4
Poanes hobomok,grass,poaceae,1,2
Poanes melane,grass,more,2,6
Poanes taxiles,grass,poaceae,1,6
Poladryas arachne,herb,scrophulariaceae,1,1
Polites carus,grass,poaceae,1,1
Polites draco,grass,poaceae,1,NA
Polites mystic,grass,more,2,5
Polites origenes,grass,poaceae,1,2
Polites peckius,grass,poaceae,1,2
Polites sabuleti,grass,poaceae,1,6
Polites sonora,grass,poaceae,1,NA
Polites themistocles,grass,poaceae,1,3
Polygonia faunus,shrub/tree,more,4,6
Polygonia gracilis,shrub,more,2,3
Polygonia interrogationis,many,more,3,5
Polygonia oreas,shrub,ribes,1,1
Polygonia satyrus,many,more,3,3
Polygonus leo,tree,leguminosae,1,NA
Pontia beckerii,herb,crucifierae,1,8
Pontia occidentalis,herb,crucifierae,1,14
Pontia protodice,herb,more,3,21
Pontia sisymbrii,herb,crucifierae,1,5
Pseudocopaeodes eunus,grass,poaceae,1,1
Pyrgus albescens,herb,malvaceae,1,11
Pyrgus centaureae,herb,rosaceae,1,1
Pyrgus communis,herb,malvaceae,1,11
Pyrgus philetas,na,na,NA,NA
Pyrgus ruralis,herb,rosaceae,1,2
Pyrgus scriptura,herb,malvaceae,1,2
Pyrgus xanthus,herb,rosaceae,1,1
Pyrrhopyge araxes,tree,fagaceae,1,1
Satyrium acadica,shrub/tree,salicaceae,1,1
Satyrium auretorum,tree,fagaceae,1,1
Satyrium behrii,shrub,rosaceae,1,2
Satyrium calanus,tree,more,5,7
Satyrium californica,shrub/tree,more,4,6
Satyrium fuliginosa,shrub,leguminosae,1,1
Satyrium liparops,shrub/tree,more,7,17
Satyrium saepium,shrub,rhamnaceae,1,1
Satyrium sylvinus,shrub/tree,salicaceae,1,1
Satyrium tetra,shrub,rosaceae,1,1
Satyrium titus,tree,rosaceae,1,1
Satyrodes eurydice,herb,leguminosae,1,3
Speyeria adiaste,herb,violaceae,1,1
Speyeria aphrodite,herb,violaceae,1,1
Speyeria atlantis,herb,violaceae,1,1
Speyeria callippe,herb,violaceae,1,1
Speyeria coronis,herb,violaceae,1,1
Speyeria cybele,herb,violaceae,1,1
Speyeria edwardsii,herb,violaceae,1,1
Speyeria egleis,herb,violaceae,1,1
Speyeria hydaspe,herb,violaceae,1,1
