species,median,up,low,probPos,probNeg
Chlosyne cyneas,-0.029,-0.004,-0.054,0.011,0.989
Chlosyne gabbii,-0.068,-0.789,0.606,0.366,0.634
Chlosyne gorgone,-0.036,-0.468,0.385,0.405,0.595
Chlosyne hoffmanni,0.004,-0.206,0.207,0.516,0.484
Chlosyne lacinia,0.049,-0.241,0.323,0.67,0.33
Chlosyne leanira,0.03,-0.703,0.682,0.558,0.442
Chlosyne nycteis,0.086,-2.359,2.278,0.592,0.408
Chlosyne palla,-0.004,-0.078,0.071,0.455,0.545
Chlosyne theona,-0.021,-0.413,0.352,0.436,0.564
Codatractus arizonensis,0.004,-0.668,0.733,0.509,0.491
Codatractus mysie,0.009,0.042,-0.026,0.692,0.308
Coenonympha haydenii,-0.01,-2.312,2.08,0.487,0.513
Coenonympha tullia,-0.034,-0.069,0,0.027,0.973
Cogia caicus,-0.056,-2.64,2.126,0.437,0.563
Cogia hippalus,0.011,-0.276,0.276,0.539,0.461
Colias alexandra,-0.006,-0.132,0.11,0.458,0.542
Colias cesonia,0.026,-0.149,0.197,0.637,0.363
Colias eurydice,-0.043,-0.312,0.24,0.345,0.655
Colias eurytheme,-0.004,-0.036,0.028,0.403,0.597
Colias interior,-0.057,-2.795,2.379,0.436,0.564
Colias meadii,0.029,-2.629,2.433,0.533,0.467
Colias occidentalis,0.012,-0.647,0.747,0.525,0.475
Colias pelidne,0.122,0.171,0.077,1,0
Colias philodice,0.016,-0.067,0.098,0.655,0.345
Copaeodes aurantiacus,-0.031,-0.184,0.125,0.326,0.674
Cyllopsis pertepida,-0.089,-2.648,2.309,0.402,0.598
Cyllopsis pyracmon,-0.03,-2.312,2.38,0.464,0.536
Danaus gilippus,-0.02,-0.157,0.113,0.367,0.633
Danaus plexippus,-0.002,-0.046,0.044,0.467,0.533
Dymasia dymas,0.019,-0.24,0.27,0.572,0.428
Emesis ares,-0.023,-2.595,2.255,0.473,0.527
Emesis zela,-0.006,-0.733,0.677,0.489,0.511
Epargyreus clarus,-0.002,-0.085,0.079,0.485,0.515
Erebia callias,-0.005,0.001,-0.012,0.069,0.931
Erebia epipsodea,-0.041,-0.217,0.131,0.296,0.704
Erebia theano,-0.088,-0.077,-0.099,0,1
Erora quaderna,0.037,-0.62,0.748,0.575,0.425
Erynnis afranius,-0.117,-0.06,-0.181,0,1
Erynnis funeralis,-0.028,-0.101,0.045,0.215,0.785
Erynnis icelus,0.002,-0.385,0.388,0.507,0.493
Erynnis juvenalis,-0.102,-2.573,2.466,0.392,0.608
Erynnis martialis,-0.062,-0.034,-0.091,0,1
Erynnis pacuvius,0.003,-0.08,0.084,0.525,0.475
Erynnis persius,0.003,-0.096,0.097,0.528,0.472
Erynnis propertius,-0.013,-0.098,0.07,0.375,0.625
Erynnis scudderi,-0.059,-0.025,-0.095,0,1
Erynnis tristis,-0.017,-0.076,0.043,0.274,0.726
Euchloe ausonides,-0.016,-0.11,0.083,0.365,0.635
Euchloe hyantis,-0.024,0.014,-0.06,0.106,0.894
Euphilotes battoides,-0.016,-0.114,0.084,0.372,0.628
Euphilotes enoptes,0.01,-0.066,0.086,0.608,0.392
Euphydryas chalcedona,-0.014,-0.076,0.048,0.328,0.672
Euphydryas editha,-0.038,-0.218,0.133,0.309,0.691
Euphydryas gillettii,-0.004,0.032,-0.037,0.418,0.582
Euphyes vestris,0.006,-0.118,0.125,0.543,0.457
Euptoieta claudia,-0.006,-0.104,0.092,0.452,0.548
Euptoieta hegesia,0.005,0.06,-0.052,0.569,0.431
Eurema mexicana,-0.024,-0.257,0.23,0.404,0.596
Eurema nicippe,0.014,-0.089,0.115,0.614,0.386
Eurema proterpia,0.063,-0.626,0.753,0.627,0.373
Everes amyntula,-0.031,-0.136,0.069,0.259,0.741
Everes comyntas,-0.014,-0.27,0.243,0.449,0.551
Glaucopsyche lygdamus,-0.016,-0.093,0.06,0.326,0.674
Glaucopsyche piasus,-0.022,-0.286,0.259,0.418,0.582
Habrodais grunus,-0.044,-0.413,0.303,0.374,0.626
Heliopetes ericetorum,-0.055,-0.223,0.118,0.238,0.762
Hemiargus ceraunus,-0.01,-0.202,0.183,0.454,0.546
Hemiargus isola,-0.011,-0.1,0.076,0.393,0.607
Hesperia comma,-0.016,-0.107,0.075,0.356,0.644
Hesperia juba,0.002,-0.404,0.397,0.506,0.494
Hesperia lindseyi,-0.04,-2.565,2.536,0.455,0.545
Hesperia nevada,-0.079,-0.763,0.66,0.345,0.655
Hesperia ottoe,0.015,0.042,-0.012,0.862,0.138
Hesperia pahaska,-0.028,-0.229,0.184,0.377,0.623
Hesperia uncas,0.027,0.056,-0.002,0.965,0.035
Hesperia viridis,0.087,-2.659,2.749,0.588,0.412
Hesperopsis alpheus,0.058,0.079,0.037,1,0
Hylephila phyleus,-0.022,-0.105,0.062,0.292,0.708
Hypaurotis crysalus,-0.022,0.007,-0.052,0.065,0.935
Junonia coenia,-0.028,-0.071,0.016,0.098,0.902
Junonia genoveva,-0.026,-0.751,0.639,0.448,0.552
Kricogonia lyside,0.068,-0.617,0.756,0.63,0.37
Leptotes marina,0,-0.065,0.06,0.498,0.502
Lerema accius,0.113,0.171,0.053,1,0
Lerodea eufala,-0.042,-0.317,0.231,0.353,0.647
Libytheana carinenta,-0.05,-0.461,0.343,0.366,0.634
Limenitis archippus,-0.055,-0.342,0.221,0.316,0.684
Limenitis arthemis,-0.002,-0.217,0.205,0.493,0.507
Limenitis lorquini,0.012,-0.019,0.044,0.78,0.22
Limenitis weidemeyerii,-0.025,-0.134,0.088,0.313,0.687
Lycaeides idas,0.004,-0.149,0.162,0.525,0.475
Lycaeides melissa,-0.019,-0.092,0.05,0.287,0.713
Lycaena arota,-0.05,-0.266,0.163,0.301,0.699
Lycaena cupreus,-0.065,-2.736,2.338,0.427,0.573
Lycaena dione,0.01,-2.348,2.387,0.512,0.488
Lycaena editha,-0.037,-0.176,0.099,0.275,0.725
Lycaena gorgon,-0.014,-0.287,0.248,0.445,0.555
Lycaena helloides,-0.038,-0.124,0.047,0.179,0.821
Lycaena heteronea,0.013,-0.09,0.116,0.609,0.391
Lycaena hyllus,-0.046,-0.001,-0.089,0.02,0.98
Lycaena mariposa,0.018,-0.368,0.42,0.55,0.45
Lycaena nivalis,-0.001,-0.147,0.145,0.493,0.507
Lycaena rubidus,-0.071,-0.307,0.154,0.227,0.773
Lycaena xanthoides,-0.031,-0.136,0.076,0.265,0.735
Megisto rubricata,-0.038,-0.309,0.223,0.361,0.639
Ministrymon leda,-0.049,-0.482,0.391,0.374,0.626
Nathalis iole,-0.011,-0.105,0.081,0.397,0.603
Neominois ridingsii,0.053,-0.693,0.806,0.599,0.401
Neophasia menapia,0.017,0.055,-0.023,0.798,0.202
Nymphalis antiopa,-0.022,-0.055,0.01,0.084,0.916
Nymphalis californica,0.096,-0.104,0.296,0.841,0.159
Nymphalis milberti,-0.013,-0.141,0.115,0.413,0.587
